complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
5,0.6274062452963495,0,1,[x1**2 + x1],"add,mul,x1,x1,x1",0.3526740193422472,0.3526740193422472,False
6,0.6280134088045289,0,1,[x1 + sin(x1)],"add,sin,x1,x1",0.3508461682141467,0.3508461682141467,False
7,0.6712422498861548,0,1,[x1*exp(x1)],"mul,exp,x1,x1",0.23987966324844762,0.23987966324844762,False
9,0.672183527965395,0,1,[x1*(x1**2 + x1) + x1],"add,mul,x1,add,mul,x1,x1,x1,x1",0.237840501901874,0.237840501901874,False
12,0.6744079734500803,0,1,[x1*(x1 + sin(x1**2)) + x1],"add,mul,x1,add,sin,mul,x1,x1,x1,x1",0.2330784542434453,0.2330784542434453,False
14,0.674446587437946,0,1,[x1*exp(sin(2*x1**2))],"mul,exp,sin,mul,add,x1,x1,x1,x1",0.23299649135161352,0.23299649135161352,False
15,0.674821983533727,0,1,[x1 + (x1 + 1)*sin(x1**2)],"add,mul,add,div,x1,x1,x1,sin,mul,x1,x1,x1",0.232200906609791,0.232200906609791,False
16,0.675127447622964,0,1,[x1**2*exp(x1*cos(x1)) + x1],"add,mul,mul,x1,x1,exp,mul,cos,x1,x1,x1",0.23155518565387706,0.23155518565387706,False
18,0.6759590768998023,0,1,[x1*exp(sin(x1**4 + x1))],"mul,exp,sin,add,mul,mul,mul,x1,x1,x1,x1,x1,x1",0.2298047033118379,0.2298047033118379,False
19,0.6761124313304285,0,1,[x1 + (x1 + sin(2*x1**3))*sin(x1)],"add,mul,add,sin,mul,mul,x1,x1,add,x1,x1,x1,sin,x1,x1",0.22948310450251497,0.22948310450251497,False
20,0.6767524779329047,0,1,[x1**2*(x1 + sin(exp(x1**3))) + x1],"add,mul,mul,add,sin,exp,mul,x1,mul,x1,x1,x1,x1,x1,x1",0.22814486564909423,0.22814486564909423,False
22,0.6768723973383266,0,1,[x1**2*(x1 + sin(exp(x1**4))) + x1],"add,mul,mul,add,sin,exp,mul,x1,mul,mul,x1,x1,x1,x1,x1,x1,x1",0.2278948488895715,0.2278948488895715,False
31,0.6769568724097291,0,1,[x1*(x1*cos(x1**2*(x1 + exp(x1)) - exp(x1)) + x1) + sin(x1)],"add,mul,add,x1,mul,cos,sub,mul,mul,add,exp,x1,x1,x1,x1,exp,x1,x1,x1,sin,x1",0.22771886450029985,0.22771886450029985,False
35,0.6770483744090232,0,1,[x1*(x1*exp(x1*(-x1 + sin(x1**3*exp(x1)))) + sin(x1**2)) + x1],"add,x1,mul,add,mul,exp,mul,sub,sin,mul,mul,mul,exp,x1,x1,x1,x1,x1,x1,x1,sin,mul,x1,x1,x1",0.22752836733068443,0.22752836733068443,False
41,0.6779281589336231,0,1,[x1*(-x1*(x1 + sin(x1*(x1**2/log(x1*(x1**2 + x1)) - x1)))*log(x1) + exp(x1))],"mul,sub,exp,x1,mul,add,x1,sin,mul,x1,sub,mul,div,x1,log,mul,add,mul,x1,x1,x1,x1,x1,x1,mul,log,x1,x1,x1",0.22570343296333512,0.22570343296333512,False
65,0.6787216123028681,0,1,[x1*(x1*log(2*x1 + sin(x1*(x1*exp(x1*(x1**2*(x1*log(x1**2) + x1)*exp(x1**2) - x1)) - x1) + 2*x1)) + x1) + x1],"add,mul,add,mul,log,add,add,sin,add,mul,sub,mul,exp,mul,sub,mul,exp,mul,x1,x1,div,mul,mul,add,mul,log,mul,x1,x1,x1,x1,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,add,x1,x1,x1,x1,x1,x1,x1,x1",0.22406791157498096,0.22406791157498096,False
