,expression,numerical matches,exact matches
0,[x1*(x1**2*(x1**2*cos(x1*(x1**2 + x1) + (x1**4 + x1*(x1 + exp((x1*(x1**3 + x1) + 2*x1)/x1)))/x1) + x1) + x1) + x1],0,99.0
0,[x1*(x1**2*(x1**2*cos(x1*(x1**3 + x1) + (x1**2 + x1*(x1 + exp((x1*(x1**3 + x1) + 2*x1)/x1)))/x1) + x1) + x1) + x1],0,99.0
0,[x1*(x1**2*(x1**2*cos(2*x1**2 + (x1**3 + x1*(x1 + exp((x1*(x1**3 + x1) + 2*x1)/x1)))/x1) + x1) + x1) + x1],0,99.0
0,[x1*(x1**2*(x1*cos(2*x1**2 + (x1**3 + x1*(x1 + exp((x1*(x1**3 + x1) + 2*x1)/x1)))/x1) + x1) + x1) + x1],0,99.0
0,[x1*(x1**2*(x1*cos(2*x1**3 + (x1*(x1 + exp((x1*(x1**3 + x1) + 2*x1)/x1)) + x1)/x1) + x1) + x1) + x1],0,99.0
0,[x1*(x1**2*(x1*cos(2*x1**2 + (x1*(x1 + exp((x1*(x1**3 + x1) + 2*x1)/x1)) + x1)/x1) + x1) + x1) + x1],0,99.0
0,[x1*(x1**2*(x1 + cos(exp(exp(exp(x1))))) + x1) + x1],0,99.0
0,[x1**2*(x1**2*sin(x1*exp(x1*(x1 + (2*x1**2 + x1)/x1)) + x1) + 2*x1) + x1],99,99.0
0,[x1*log(x1*(2*x1 + cos(exp(exp(exp(x1))))) + exp(x1)) + x1],0,99.0
0,[x1*(x1*(x1 + cos(exp(exp(exp(x1))))) + x1) + x1],0,99.0
0,[x1*(x1*sin(x1)*sin(x1**2 + x1) + x1) + x1],99,99.0
0,[x1*(-x1*(x1**2 - 2*x1)*sin(x1) + x1) + x1],99,99.0
0,[x1*(x1*sin(x1)*sin(2*x1) + x1) + x1],99,99.0
0,[x1*(x1**2*sin(1) + x1) + x1],99,99.0
0,[x1*(x1**2 + x1) + sin(x1)],99,99.0
0,[x1*(x1**3 + x1) + x1],99,99.0
0,[x1*exp(x1)],99,99.0
0,[x1**2 + x1],99,99.0
0,[x1*(-x1**2*sin(x1)*sin(x1**2 + x1*exp(x1*(x1**2*(-x1**5 + 4*x1**3 + x1) + x1)) - x1) + 2*x1) + x1],99,99.0
0,[x1*(-x1*(x1*(x1*sin(x1*exp(x1*(x1**2*(-x1**5 + 4*x1**3 + x1) + x1))) - x1) + x1)*sin(x1) + 2*x1) + x1],99,99.0
0,[x1*(-x1**2*(x1**2*(-x1 + sin(x1*exp(x1*(x1**2*(-x1**5 + 4*x1**3 + x1) + x1)))) + x1)*sin(x1) + 2*x1) + x1],99,99.0
0,[x1*(-x1**2*(x1**2*(x1*sin(x1*exp(x1*(x1**2*(-x1**5 + 4*x1**3 + x1) + x1))) - x1) + x1) + 2*x1) + x1],99,99.0
0,[x1*(-x1**2*(x1*(x1*sin(x1*exp(x1*(4*x1**4 + x1))) - x1) + x1)*sin(x1) + 2*x1) + x1],0,99.0
0,[x1*(-x1*(x1**2*(x1*sin(x1*exp(x1*(4*x1**4 + x1))) - x1) + x1)*sin(x1) + 2*x1) + x1],0,99.0
0,[x1*(-x1*sin(x1)*sin(x1*exp(x1*(4*x1**4 + x1))) + 2*x1) + x1],0,99.0
0,[x1*(2*x1 + exp(exp(-1)*sin(1/log(x1))))],0,99.0
