complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
5,0.5424102875477228,0,1,[x1**2 + x1],"add,x1,mul,x1,x1",0.7116995124260523,0.7116995124260523,False
7,0.553794870373791,0,1,[2*x1**2 + x1],"add,mul,add,x1,x1,x1,x1",0.6491891607291913,0.6491891607291913,False
9,0.5544285838313424,0,1,[x1*(x1**2 + x1) + x1],"add,mul,add,mul,x1,x1,x1,x1,x1",0.6458674836350226,0.6458674836350226,False
14,0.5548758627765222,0,1,[x1*exp(sin(2*x1**2))],"mul,exp,sin,mul,add,x1,x1,x1,x1",0.6435327050897043,0.6435327050897043,False
18,0.5551310886963344,0,1,[x1*exp(sin(x1**4 + x1))],"mul,exp,sin,add,mul,mul,mul,x1,x1,x1,x1,x1,x1",0.6422040129740204,0.6422040129740204,False
20,0.5552130292516477,0,1,[exp(x1)*sin(x1**5 + x1)],"mul,exp,x1,sin,add,mul,mul,mul,mul,x1,x1,x1,x1,x1,x1",0.641777984954432,0.641777984954432,False
22,0.5556021496392841,0,1,[x1*(x1 + sin(x1**4*exp(x1))) + x1],"add,mul,add,sin,mul,mul,mul,mul,exp,x1,x1,x1,x1,x1,x1,x1,x1",0.6397584993129262,0.6397584993129262,False
24,0.5556685152604119,0,1,[x1*(x1 + sin(x1**3*exp(x1**3))) + x1],"add,mul,add,sin,mul,mul,mul,exp,mul,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.6394146698247702,0.6394146698247702,False
26,0.5557397138679755,0,1,[x1**2 + x1 + sin(x1**5*(2*x1**2 + x1))],"add,add,sin,mul,mul,mul,mul,x1,x1,mul,add,mul,add,x1,x1,x1,x1,x1,x1,x1,x1,mul,x1,x1",0.6390459954471903,0.6390459954471903,False
28,0.5557962536100238,0,1,[x1**2 + x1 + sin(x1**4*(2*x1**4 + x1))],"add,add,sin,mul,mul,mul,mul,x1,x1,x1,add,x1,mul,mul,mul,x1,x1,add,x1,x1,x1,x1,mul,x1,x1,x1",0.6387533693173607,0.6387533693173607,False
30,0.5558576553468345,0,1,[x1**2 + x1 + sin(x1**3*(2*x1**6 + x1))],"add,add,sin,mul,mul,x1,mul,add,mul,mul,x1,x1,mul,mul,x1,mul,add,x1,x1,x1,x1,x1,x1,x1,mul,x1,x1,x1",0.6384357228393152,0.6384357228393152,False
31,0.5558822816258112,0,1,[(x1 + exp(sin(x1**2*exp(2*x1**3 - x1))))*sin(x1)],"mul,sin,x1,add,exp,sin,mul,mul,exp,sub,mul,mul,add,x1,x1,x1,x1,x1,x1,x1,x1",0.6383083668723107,0.6383083668723107,False
32,0.5559005167049305,0,1,[x1**2 + x1 + sin(x1**3*(2*x1**7 + x1))],"add,add,sin,mul,mul,add,mul,mul,mul,mul,mul,mul,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,mul,x1,x1,x1,mul,x1,x1",0.6382140787541084,0.6382140787541084,False
34,0.5559415347788138,0,1,[(exp(sin(x1**2*exp(2*x1**3 - x1))) + sin(x1))*sin(x1)],"mul,sin,x1,add,exp,sin,mul,mul,exp,sub,mul,mul,add,x1,x1,x1,x1,x1,x1,x1,sin,x1",0.6380020346644537,0.6380020346644537,False
39,0.5560104597582055,0,1,[x1*(exp(sin(x1**3*(x1**3*exp(x1**2) - x1) + x1)) - cos(x1)) + x1],"add,mul,sub,exp,sin,add,mul,mul,mul,sub,mul,mul,x1,mul,exp,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,cos,x1,x1,x1",0.6376458748093362,0.6376458748093362,False
41,0.5560327964964275,0,1,[x1*(exp(sin(x1**4*(x1**2*exp(x1**3) - x1) + x1)) - cos(x1)) + x1],"add,mul,sub,exp,sin,add,mul,mul,mul,mul,sub,mul,mul,exp,mul,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,cos,x1,x1,x1",0.6375304932219219,0.6375304932219219,False
49,0.5569828962608266,0,1,[x1*(x1**2*(x1 + sin(3*x1 - exp(x1*(x1**2*(x1*(x1**3 + x1) + x1) + x1)))) + x1) + x1],"add,mul,add,mul,mul,add,sin,add,add,sub,x1,exp,mul,add,mul,mul,div,add,mul,add,mul,mul,x1,x1,x1,x1,x1,x1,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.6326409048385456,0.6326409048385456,False
