complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
5,0.6076591245292813,0,1,[x1**2 + x1],"add,x1,mul,x1,x1",0.416876166472461,0.416876166472461,False
7,0.6531116690985537,0,1,[2*x1**2 + x1],"add,mul,add,x1,x1,x1,x1",0.28210091495425965,0.28210091495425965,False
9,0.6564980593923675,0,1,[x1*(x1**2 + x1) + x1],"add,mul,add,mul,x1,x1,x1,x1,x1",0.2737735557427715,0.2737735557427715,False
15,0.656506889815081,0,1,[x1*(2*x1 + exp(x1**2 - x1))],"mul,add,x1,add,exp,sub,mul,x1,x1,x1,x1,x1",0.2737521156825988,0.2737521156825988,False
18,0.6565106496948335,0,1,[x1**2 + 2*x1 + sin(x1**3 - x1)],"add,add,add,sin,sub,mul,mul,x1,x1,x1,x1,mul,x1,x1,x1,x1",0.2737429872122487,0.2737429872122487,False
20,0.6565287359163117,0,1,[x1*(x1*exp(sin(log(x1))) + x1) + x1],"add,mul,add,mul,x1,exp,sin,log,x1,x1,x1,x1",0.2736990799447235,0.2736990799447235,False
31,0.6565341275477159,0,1,[x1*(x1*exp(x1 - 1) + x1 + cos(x1**2 - x1))],"mul,add,div,x1,exp,mul,div,sub,div,x1,x1,x1,x1,x1,add,cos,sub,mul,x1,x1,x1,x1,x1",0.2736859920250515,0.2736859920250515,False
33,0.6565443274094916,0,1,[x1*(x1 + exp(sin(x1/(x1 + exp(x1*(-2*x1 + 1/x1))))))],"mul,add,exp,sin,div,x1,add,exp,mul,sub,sub,div,div,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.2736612338069071,0.2736612338069071,False
38,0.656551099993289,0,1,[log(x1 + exp(x1*(2*x1 + sin(x1*(x1*exp(x1**2 - 3*x1) + x1)))))],"log,add,exp,mul,add,add,sin,mul,add,mul,exp,sub,sub,sub,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.27364479569568,0.27364479569568,False
43,0.6565664648394789,0,1,[x1**2 + x1*(x1 + cos(x1 - log((x1*(x1*(x1**3 + x1) - x1) + x1)/x1)))],"add,add,sub,mul,add,cos,sub,log,div,add,mul,sub,mul,add,mul,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,add,sub,x1,x1,mul,x1,x1",0.2736075059189469,0.2736075059189469,False
62,0.6568192413490107,0,1,[x1**2 - x1*sin(x1*(x1**3*exp(-x1)/((-x1 + exp(exp(x1)))*(2*x1**5 - 2*x1)) - x1)) + x1],"add,sub,x1,mul,sin,mul,sub,div,mul,div,sub,add,div,x1,div,sub,sub,mul,mul,mul,mul,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,exp,x1,x1,sub,exp,exp,x1,x1,x1,x1,x1,mul,x1,x1",0.27299464384522926,0.27299464384522926,False
64,0.6570232059212944,0,1,[x1**2 - x1*sin(x1*(x1**2*exp(-x1)*exp(-x1**2*exp(x1))/(2*x1**4 - 2*x1) - x1)) + x1],"add,sub,x1,mul,sin,mul,sub,div,mul,div,sub,add,div,x1,sub,sub,mul,mul,div,mul,mul,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,exp,x1,x1,exp,mul,x1,mul,exp,x1,x1,x1,x1,x1,mul,x1,x1",0.27250097155774133,0.27250097155774133,False
67,0.657057370594878,0,1,[x1**2 - x1*sin(x1*(x1**3*exp(-x1)*exp(-x1**2*exp(x1))/(2*x1**4 - 2*x1) - x1)) + x1],"add,sub,x1,mul,sin,mul,sub,div,mul,div,sub,add,div,x1,div,sub,sub,mul,mul,div,mul,mul,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,exp,x1,x1,exp,mul,x1,mul,exp,x1,x1,x1,x1,x1,mul,x1,x1",0.2724183536149041,0.2724183536149041,False
