,expression,numerical matches,exact matches
0,[0],10,10.0
0,[log(x1 + 2*exp(x1*cos(x1*log(x1)**2)))],10,10.0
0,[log(x1 + exp(x1*cos(x1*log(x1)**2)))],10,10.0
0,[log(x1 + exp(x1*cos(2*x1**2))*log(x1))],10,10.0
0,[log(2*x1 + exp(x1*cos(2*x1**2)))],10,10.0
0,[log(x1 + exp(x1*cos(2*x1**2)))],10,10.0
0,[x1*cos(x1**2)*cos(2*x1**2)],10,10.0
0,[exp(log(x1)*cos(x1**2))],10,10.0
0,[2*x1/(x1*cos(x1) + x1)],10,10.0
0,[x1*sin(exp(x1))],10,10.0
0,[x1/2],10,10.0
0,[log(x1**2)],10,10.0
0,[2],10,10.0
0,[0],10,10.0
0,[(x1 + x1/sin(log(x1) - 1))/log(2*x1**6 + x1)],10,10.0
0,[(x1 + x1/sin(log(x1) - 1))/log(2*x1**6)],10,10.0
0,[(x1 + x1/sin(log(x1) - 1))/log(x1**6)],0,10.0
0,[exp(-log(-2*x1*sin(x1) + 3*x1)*sin(x1 - exp(x1)))],10,10.0
0,[(x1**2*(-sin(exp(x1)) + cos(x1))*cos(x1) + x1)/(2*x1)],10,10.0
0,[x1*(-sin(exp(x1)) + cos(x1))*cos(x1)/2],10,10.0
0,[log(x1 + exp(x1*cos(2*x1**2)))],10,10.0
0,[x1*cos(x1**2)*cos(2*x1**2)],10,10.0
0,[exp(log(x1)*cos(x1**2))],10,10.0
0,[x1/(x1*cos(x1**3) + x1)],10,10.0
0,[x1*sin(exp(x1))],10,10.0
0,[x1/2],10,10.0
0,[log(x1**2)],10,10.0
0,[2],10,10.0
0,[0],10,10.0
0,[log((x1**2*(x1 + log(2*x1**2*exp(2*x1*sin(x1 + (x1**2 + x1)/x1)*cos(x1)))) + x1 + exp(x1*sin(x1 + (x1**2 + x1)/x1)))/(2*x1**2))],10,10.0
0,[log((x1**2*(2*x1 + sin(x1)) + x1 + exp(x1*sin(x1 + (x1**2 + x1)/x1)))/(2*x1**2))],10,10.0
0,[log((2*x1**3 + x1 + exp(x1*sin(x1 + (x1**2 + x1)/x1)))/(2*x1**2))],10,10.0
0,[exp(x1*exp(-2))/(x1 + 5)],10,10.0
0,[exp(x1*exp(-2))/(x1 + 4)],10,10.0
0,[exp(x1*exp(-2))/(x1 + 3)],10,10.0
0,[exp(x1*exp(-2))/(x1 + 2)],10,10.0
0,[exp(x1*exp(-2))/x1],10,10.0
0,[exp(log(x1)*cos(x1**2))],10,10.0
0,[x1/(x1*cos(x1**3) + x1)],10,10.0
0,[2*x1/(x1*cos(x1) + x1)],10,10.0
0,[x1*sin(exp(x1))],10,10.0
0,[x1/2],10,10.0
0,[log(x1**2)],10,10.0
0,[2],10,10.0
0,[0],10,10.0
0,[x1**2/(3*x1 - (x1 + 6*x1/log(x1**2))*sin(x1 + (3*x1 - exp(x1) - log(exp(x1) + 1 + log(2*x1)/(2*x1))/x1)/x1) - (2*x1 + 6)*sin(x1 + (4*x1 - exp(x1) - log(2*x1)/(2*x1))/x1))],10,10.0
0,[x1**2/(3*x1 - (x1 + 6*x1/log(x1**2))*sin(x1 + (3*x1 - exp(x1) - log(1 + log(2*x1)/(2*x1))/x1)/x1) - (2*x1 + (4*x1 + 2*log(x1**2)/x1)/x1)*sin(x1 + (4*x1 - exp(x1) - log(2*x1)/(2*x1))/x1))],10,10.0
