complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
5,0.5761072923984567,0,1,[x1**2 + x1],"add,mul,x1,x1,x1",0.5413836620144922,0.5413836620144922,False
7,0.6012423884763233,0,1,[3*x1**2],"mul,add,add,x1,x1,x1,x1",0.43986437468967277,0.43986437468967277,False
9,0.6015999805903453,0,1,[x1*(x1**2 + x1) + x1],"add,mul,add,mul,x1,x1,x1,x1,x1",0.43855399814664797,0.43855399814664797,False
11,0.601730076918497,0,1,[x1*(x1**3 + x1) + x1],"add,mul,add,mul,x1,mul,x1,x1,x1,x1,x1",0.4380781381674577,0.4380781381674577,False
14,0.6023837657607858,0,1,[x1*exp(2*x1 - sin(x1))],"mul,x1,exp,sub,add,x1,x1,sin,x1",0.43569411861733454,0.43569411861733454,False
15,0.6024448061293942,0,1,[x1*(2*x1**2 + x1/sin(x1))],"mul,add,mul,add,x1,x1,x1,div,x1,sin,x1,x1",0.43547209860060826,0.43547209860060826,False
16,0.6025520759880384,0,1,[x1*exp(x1**2)*sin(x1) + x1],"add,mul,x1,mul,exp,mul,x1,x1,sin,x1,x1",0.4350821756755773,0.4350821756755773,False
21,0.6025664168181458,0,1,[-x1 + (x1*sin(x1) + x1)/cos(x1) + sin(x1)],"sub,add,div,add,mul,x1,sin,x1,x1,cos,x1,sin,x1,x1",0.4350300709132999,0.4350300709132999,False
23,0.6025750483481075,0,1,[x1*(x1 + exp(x1*(x1*(x1 + sin(x1)/x1) - x1)))],"mul,add,exp,mul,sub,mul,add,div,sin,x1,x1,x1,x1,x1,x1,x1,x1",0.434998712540199,0.434998712540199,False
25,0.6025957412064166,0,1,[x1*exp((x1 + sin(x1))/(cos(x1**2) + 1))],"mul,exp,div,add,x1,sin,x1,add,cos,mul,x1,x1,div,x1,x1,x1",0.4349235435873771,0.4349235435873771,False
26,0.6027969449139886,0,1,[x1*(-x1*(-2*x1 + sin(exp(x1**4))) + x1) + x1],"add,mul,sub,x1,mul,sub,sub,sin,exp,mul,mul,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.43419325769526873,0.43419325769526873,False
28,0.6030817820363191,0,1,[x1*(-x1*(-2*x1 + sin(exp(x1**5))) + x1) + x1],"add,mul,sub,x1,mul,sub,sub,sin,exp,mul,mul,mul,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.4331612983447403,0.4331612983447403,False
30,0.603907821379724,0,1,[x1*(-x1*sin(2*x1 - exp(5*x1)) + 3*x1)],"mul,add,add,x1,add,mul,sin,sub,sub,exp,add,add,add,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.43018100008264165,0.43018100008264165,False
