complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
5,0.6796024241532828,0,1,[x1**2 + x1],"add,mul,x1,x1,x1",0.22226373308161715,0.22226373308161715,False
7,0.836839646340929,0,1,[3*x1**2],"mul,add,add,x1,x1,x1,x1",0.03801410600833086,0.03801410600833086,False
9,0.86442219238735,0,1,[x1*(x1**2 + x1) + x1],"add,mul,add,mul,x1,x1,x1,x1,x1",0.024599450019519277,0.024599450019519277,False
20,0.8646099929806833,0,1,[x1*(x1 + exp(x1) - log(x1 + 1))],"mul,sub,add,exp,x1,x1,log,add,x1,div,x1,x1,x1",0.024520691876819694,0.024520691876819694,False
24,0.8646312475306419,0,1,[x1*(x1**2/(exp(x1) + cos(x1)) + exp(x1))],"mul,add,div,x1,div,add,cos,x1,exp,x1,x1,exp,x1,x1",0.02451178844036117,0.02451178844036117,False
26,0.8646438805887108,0,1,[x1*(x1**2*exp(-cos(x1))*cos(x1) + exp(x1))],"mul,add,exp,x1,div,mul,mul,x1,x1,cos,x1,exp,cos,x1,x1",0.024506497481910812,0.024506497481910812,False
31,0.864646953121861,0,1,[x1*(x1**2/(-x1 + (cos(x1) + 1)*exp(x1)) + exp(x1))],"mul,add,div,x1,div,sub,mul,exp,x1,add,cos,x1,div,x1,x1,x1,x1,exp,x1,x1",0.024505210757893785,0.024505210757893785,False
37,0.8646471623394033,0,1,[x1*(x1*(x1*(x1 - sin(x1))*(sin(x1) - cos(x1)) + x1) + x1) + x1],"add,x1,mul,add,mul,add,mul,mul,add,sin,mul,div,sub,x1,add,x1,x1,x1,x1,x1,sub,sin,x1,cos,x1,x1,x1,x1,x1,x1",0.0245051231427478,0.0245051231427478,False
44,0.8646502231600796,0,1,[x1*(x1*(x1**4*(-x1 + sin(x1*(x1**3/(x1**2 + x1) + x1))) + x1) + x1) + x1],"add,x1,mul,x1,mul,div,add,mul,add,mul,mul,mul,x1,x1,x1,mul,sub,sin,mul,add,div,mul,mul,x1,x1,x1,add,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.024503841369305154,0.024503841369305154,False
47,0.8646629396411928,0,1,[x1*(x1*(x1**12*(-x1**3 + x1**2) + x1) + x1) + x1],"add,mul,add,mul,add,mul,mul,mul,add,sub,mul,mul,mul,mul,mul,mul,mul,sub,mul,x1,x1,mul,mul,x1,x1,x1,x1,x1,x1,mul,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.02449851657134427,0.02449851657134427,False
51,0.8647053896688769,0,1,[x1*(x1**2*exp(x1**4*(x1**2*(-x1**4 - x1) + x1)*log(x1)) + x1) + x1],"add,mul,add,mul,mul,exp,mul,mul,mul,mul,sub,add,add,mul,mul,sub,mul,mul,mul,sub,sub,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,log,x1,x1,mul,x1,x1,x1,x1,x1,x1,x1",0.02448074670825533,0.02448074670825533,False
54,0.8647078522862381,0,1,[x1*(2*x1 + (x1**2 - x1)*cos(x1**2*(x1*(x1**3*(x1**2 + x1) - x1) + 2*x1) - x1)) + x1],"add,mul,add,add,x1,mul,sub,add,sub,mul,x1,x1,x1,x1,x1,cos,sub,add,sub,mul,x1,mul,add,add,x1,mul,sub,add,sub,mul,x1,mul,x1,mul,add,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.024479716091679413,0.024479716091679413,False
56,0.8647201922619077,0,1,[x1*(x1**2*exp(x1**4*(x1**2*(x1**4*(-2*x1 + sin(x1)) - x1) + x1)*log(x1)) + x1) + x1],"add,mul,add,mul,mul,exp,mul,mul,mul,mul,sub,add,add,mul,mul,sub,mul,mul,mul,mul,sub,sub,sin,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,log,x1,x1,mul,x1,x1,x1,x1,x1,x1,x1",0.02447455217080339,0.02447455217080339,False
