r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
6.927756071090698242e-01,6.927756071090698242e-01,1.753228455781936646e-01,6.927127838134765625e-01,2.477636337280273438e+01,4.025000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,1.503864079713821411e-01,1.171875000000000000e-02,5.600000023841857910e-01,0.000000000000000000e+00,6.926731467247009277e-01,4.867615222930908203e+00
6.936897635459899902e-01,6.936897635459899902e-01,1.864131838083267212e-01,6.936510801315307617e-01,2.305999946594238281e+01,2.643750000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.600000000000000000e+01,5.500000000000000000e+02,1.600000000000000000e+01,1.340913325548171997e-01,3.125000000000000000e-02,5.363636612892150879e-01,0.000000000000000000e+00,6.936371326446533203e-01,6.693271636962890625e+00
6.936897635459899902e-01,6.936820745468139648e-01,1.841413378715515137e-01,6.936807036399841309e-01,2.491272735595703125e+01,4.563636398315429688e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.493554562330245972e-01,1.953125000000000000e-02,5.181818008422851562e-01,0.000000000000000000e+00,6.936796307563781738e-01,8.806772232055664062e+00
6.936897635459899902e-01,6.933549642562866211e-01,1.740560978651046753e-01,6.933549642562866211e-01,2.246363639831542969e+01,2.288888931274414062e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.800000000000000000e+01,5.500000000000000000e+02,1.800000000000000000e+01,1.294350177049636841e-01,7.812500000000000000e-03,5.690909028053283691e-01,0.000000000000000000e+00,6.933549642562866211e-01,1.039910888671875000e+01
6.936897635459899902e-01,6.936473250389099121e-01,1.752084791660308838e-01,6.933392882347106934e-01,2.215818214416503906e+01,1.745999908447265625e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.500000000000000000e+02,5.000000000000000000e+01,1.273943781852722168e-01,2.343750000000000000e-02,5.727272629737854004e-01,0.000000000000000000e+00,6.933243870735168457e-01,1.198567295074462891e+01
6.936897635459899902e-01,6.933243870735168457e-01,1.800380945205688477e-01,6.933243870735168457e-01,2.211090850830078125e+01,1.253846168518066406e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.300000000000000000e+01,5.490000000000000000e+02,1.200000000000000000e+01,1.276986598968505859e-01,7.812500000000000000e-03,5.436363816261291504e-01,0.000000000000000000e+00,6.933243870735168457e-01,1.353273487091064453e+01
6.936897635459899902e-01,6.934026479721069336e-01,1.812033951282501221e-01,6.933729052543640137e-01,2.351454544067382812e+01,2.985714340209960938e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.400000000000000000e+01,5.500000000000000000e+02,1.400000000000000000e+01,1.339625269174575806e-01,7.812500000000000000e-03,5.672727227210998535e-01,0.000000000000000000e+00,6.933540105819702148e-01,1.534501838684082031e+01
6.936897635459899902e-01,6.933243870735168457e-01,1.745587736368179321e-01,6.933243870735168457e-01,2.232909011840820312e+01,1.388888931274414062e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.800000000000000000e+01,5.480000000000000000e+02,1.600000000000000000e+01,1.282633692026138306e-01,4.501206427812576294e-02,5.799999833106994629e-01,0.000000000000000000e+00,6.933243870735168457e-01,1.699453544616699219e+01
6.936897635459899902e-01,6.936199665069580078e-01,1.785087585449218750e-01,6.936115622520446777e-01,2.675272750854492188e+01,6.572727203369140625e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.660457700490951538e-01,3.906250000000000000e-02,5.763636231422424316e-01,0.000000000000000000e+00,6.936065554618835449e-01,1.902018547058105469e+01
6.936897635459899902e-01,6.935940980911254883e-01,1.938260942697525024e-01,6.935620903968811035e-01,2.318909072875976562e+01,2.642857170104980469e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.400000000000000000e+01,5.490000000000000000e+02,1.400000000000000000e+01,1.302065402269363403e-01,7.812500000000000000e-03,5.381818413734436035e-01,0.000000000000000000e+00,6.935382485389709473e-01,2.065255546569824219e+01
6.936897635459899902e-01,6.935642957687377930e-01,1.961988210678100586e-01,6.935400962829589844e-01,2.329999923706054688e+01,2.593750000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.600000000000000000e+01,5.500000000000000000e+02,1.600000000000000000e+01,1.306542605161666870e-01,2.343750000000000000e-02,5.472727417945861816e-01,0.000000000000000000e+00,6.935161948204040527e-01,2.231684875488281250e+01
6.936954259872436523e-01,6.936954259872436523e-01,1.850979328155517578e-01,6.936822533607482910e-01,2.452000045776367188e+01,3.658333206176757812e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,1.456090360879898071e-01,4.296875000000000000e-02,5.363636612892150879e-01,0.000000000000000000e+00,6.936798095703125000e-01,2.421769714355468750e+01
6.936954259872436523e-01,6.936757564544677734e-01,1.945272833108901978e-01,6.936678290367126465e-01,2.347999954223632812e+01,2.963636398315429688e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.299214363098144531e-01,7.812500000000000000e-03,5.309090614318847656e-01,0.000000000000000000e+00,6.936602592468261719e-01,2.590445518493652344e+01
6.936954259872436523e-01,6.936432123184204102e-01,1.812714487314224243e-01,6.935570240020751953e-01,2.305636405944824219e+01,2.000000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.430000000000000000e+02,1.100000000000000000e+01,1.276306658983230591e-01,7.812500000000000000e-03,5.690909028053283691e-01,0.000000000000000000e+00,6.934752464294433594e-01,2.750671386718750000e+01
6.937060952186584473e-01,6.937060952186584473e-01,1.814430356025695801e-01,6.936946511268615723e-01,3.200909042358398438e+01,1.256363601684570312e+02,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,2.142973244190216064e-01,1.406250000000000000e-01,5.654545426368713379e-01,0.000000000000000000e+00,6.936902999877929688e-01,2.984420585632324219e+01
6.937060952186584473e-01,6.934722661972045898e-01,1.822099834680557251e-01,6.934722661972045898e-01,2.404000091552734375e+01,1.877777862548828125e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.800000000000000000e+01,5.490000000000000000e+02,1.800000000000000000e+01,1.279251128435134888e-01,1.562500000000000000e-02,5.690909028053283691e-01,0.000000000000000000e+00,6.934722661972045898e-01,3.163019180297851562e+01
6.937060952186584473e-01,6.936740279197692871e-01,1.871310472488403320e-01,6.936130523681640625e-01,2.519818115234375000e+01,3.254545593261718750e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.480000000000000000e+02,1.100000000000000000e+01,1.348220407962799072e-01,2.734375000000000000e-02,5.418182015419006348e-01,0.000000000000000000e+00,6.936042904853820801e-01,3.342635726928710938e+01
6.937060952186584473e-01,6.936336755752563477e-01,1.808636933565139771e-01,6.936001181602478027e-01,2.508545494079589844e+01,2.009090995788574219e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.480000000000000000e+02,1.100000000000000000e+01,1.260410100221633911e-01,3.906250000000000000e-03,5.636363625526428223e-01,0.000000000000000000e+00,6.934900283813476562e-01,3.503423309326171875e+01
6.937060952186584473e-01,6.936783194541931152e-01,1.749192774295806885e-01,6.936734914779663086e-01,2.768000030517578125e+01,3.257143020629882812e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.400000000000000000e+01,5.500000000000000000e+02,1.400000000000000000e+01,1.381129324436187744e-01,9.824623912572860718e-02,5.745454430580139160e-01,0.000000000000000000e+00,6.936709880828857422e-01,3.681591415405273438e+01
6.937060952186584473e-01,6.936826109886169434e-01,1.616137325763702393e-01,6.936804652214050293e-01,2.781090927124023438e+01,2.736363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.267481148242950439e-01,1.171875000000000000e-02,6.399999856948852539e-01,0.000000000000000000e+00,6.936765909194946289e-01,3.851115036010742188e+01
6.937060952186584473e-01,6.935580372810363770e-01,1.706690490245819092e-01,6.934338808059692383e-01,2.818000030517578125e+01,2.421052551269531250e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.900000000000000000e+01,5.500000000000000000e+02,1.900000000000000000e+01,1.227166354656219482e-01,1.953125000000000000e-02,6.181818246841430664e-01,0.000000000000000000e+00,6.934013962745666504e-01,4.035001373291015625e+01
6.937060952186584473e-01,6.935628652572631836e-01,1.731488108634948730e-01,6.935628652572631836e-01,2.987454605102539062e+01,2.427272796630859375e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.245831400156021118e-01,1.953125000000000000e-02,6.200000047683715820e-01,0.000000000000000000e+00,6.935628652572631836e-01,4.223848724365234375e+01
6.937060952186584473e-01,6.937040686607360840e-01,1.543386131525039673e-01,6.936985850334167480e-01,3.154909133911132812e+01,3.790909194946289062e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.291488409042358398e-01,1.562500000000000000e-02,6.581818461418151855e-01,0.000000000000000000e+00,6.936904191970825195e-01,4.412591171264648438e+01
6.937060952186584473e-01,6.936274766921997070e-01,1.661701053380966187e-01,6.935990452766418457e-01,3.162363624572753906e+01,3.875000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,1.280178278684616089e-01,1.562500000000000000e-02,6.181818246841430664e-01,0.000000000000000000e+00,6.935843825340270996e-01,4.605347061157226562e+01
6.937060952186584473e-01,6.936990022659301758e-01,1.599051356315612793e-01,6.936876773834228516e-01,3.113818168640136719e+01,3.181818199157714844e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.260118037462234497e-01,2.343750000000000000e-02,6.254545450210571289e-01,0.000000000000000000e+00,6.936795115470886230e-01,4.782370376586914062e+01
6.937060952186584473e-01,6.935625672340393066e-01,1.588831394910812378e-01,6.935448646545410156e-01,3.664908981323242188e+01,1.040909118652343750e+02,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.772595793008804321e-01,6.640625000000000000e-02,6.363636255264282227e-01,0.000000000000000000e+00,6.935353875160217285e-01,5.002717208862304688e+01
6.937060952186584473e-01,6.936728954315185547e-01,1.461721062660217285e-01,6.936684846878051758e-01,3.212727355957031250e+01,3.218181991577148438e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.256738752126693726e-01,8.516699075698852539e-02,6.654545664787292480e-01,0.000000000000000000e+00,6.936668157577514648e-01,5.188255310058593750e+01
6.937060952186584473e-01,6.936436295509338379e-01,1.449644118547439575e-01,6.935678124427795410e-01,3.270363616943359375e+01,4.514285659790039062e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.400000000000000000e+01,5.500000000000000000e+02,1.400000000000000000e+01,1.324634999036788940e-01,1.562500000000000000e-02,6.781818270683288574e-01,0.000000000000000000e+00,6.935451030731201172e-01,5.362706756591796875e+01
6.937060952186584473e-01,6.936902999877929688e-01,1.507632583379745483e-01,6.936857700347900391e-01,3.520727157592773438e+01,4.872727203369140625e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.541028767824172974e-01,4.687500000000000000e-02,6.672727465629577637e-01,0.000000000000000000e+00,6.936829090118408203e-01,5.547942733764648438e+01
6.937060952186584473e-01,6.937016844749450684e-01,1.415762007236480713e-01,6.936962604522705078e-01,3.372363662719726562e+01,4.727272796630859375e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.287010312080383301e-01,7.812500000000000000e-03,6.909090876579284668e-01,0.000000000000000000e+00,6.936937570571899414e-01,5.734479141235351562e+01
6.937060952186584473e-01,6.935971379280090332e-01,1.511675566434860229e-01,6.935950517654418945e-01,4.070545578002929688e+01,8.631578826904296875e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.900000000000000000e+01,5.500000000000000000e+02,1.900000000000000000e+01,1.996949017047882080e-01,7.812500000000000000e-02,6.745454668998718262e-01,0.000000000000000000e+00,6.935939192771911621e-01,5.951980972290039062e+01
6.937060952186584473e-01,6.936798095703125000e-01,1.427113711833953857e-01,6.936663985252380371e-01,3.278181838989257812e+01,3.466666793823242188e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.800000000000000000e+01,5.500000000000000000e+02,1.800000000000000000e+01,1.313059777021408081e-01,4.687500000000000000e-02,6.909090876579284668e-01,0.000000000000000000e+00,6.936590075492858887e-01,6.163826751708984375e+01
6.937060952186584473e-01,6.935006976127624512e-01,1.348323374986648560e-01,6.933354139328002930e-01,3.083090972900390625e+01,1.656250000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,3.200000000000000000e+01,5.420000000000000000e+02,2.900000000000000000e+01,1.249765083193778992e-01,6.105533242225646973e-02,7.218182086944580078e-01,0.000000000000000000e+00,6.933243870735168457e-01,6.330535507202148438e+01
6.937060952186584473e-01,6.936909556388854980e-01,1.349494308233261108e-01,6.936771273612976074e-01,3.241999816894531250e+01,3.118181800842285156e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.283022165298461914e-01,3.906250000000000000e-02,7.163636088371276855e-01,0.000000000000000000e+00,6.936698555946350098e-01,6.526023864746093750e+01
6.937060952186584473e-01,6.935235261917114258e-01,1.252602338790893555e-01,6.933782100677490234e-01,3.067818260192871094e+01,1.727272796630859375e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.400000000000000000e+02,1.100000000000000000e+01,1.287951767444610596e-01,1.562500000000000000e-02,7.381818294525146484e-01,0.000000000000000000e+00,6.933441162109375000e-01,6.692655181884765625e+01
6.937060952186584473e-01,6.936462521553039551e-01,1.302814781665802002e-01,6.934801936149597168e-01,3.117454528808593750e+01,2.254545402526855469e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.324415802955627441e-01,2.734375000000000000e-02,7.254545688629150391e-01,0.000000000000000000e+00,6.933448910713195801e-01,6.867808532714843750e+01
6.937060952186584473e-01,6.936920285224914551e-01,1.362032741308212280e-01,6.936857104301452637e-01,3.381999969482421875e+01,5.554545593261718750e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.513967961072921753e-01,3.125000000000000000e-02,7.036363482475280762e-01,0.000000000000000000e+00,6.936830282211303711e-01,7.068503570556640625e+01
6.937060952186584473e-01,6.933243870735168457e-01,1.186711043119430542e-01,6.933243870735168457e-01,3.024363708496093750e+01,1.486666679382324219e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.500000000000000000e+01,5.500000000000000000e+02,1.500000000000000000e+01,1.349630802869796753e-01,1.953125000000000000e-02,7.436363697052001953e-01,0.000000000000000000e+00,6.933243870735168457e-01,7.250674438476562500e+01
6.937060952186584473e-01,6.931414008140563965e-01,1.273965686559677124e-01,6.930173039436340332e-01,3.190909004211425781e+01,3.592856979370117188e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.400000000000000000e+01,5.500000000000000000e+02,1.400000000000000000e+01,1.435081660747528076e-01,9.456306695938110352e-02,7.109090685844421387e-01,0.000000000000000000e+00,6.930034160614013672e-01,7.431747436523437500e+01
6.937060952186584473e-01,6.933383941650390625e-01,1.247235462069511414e-01,6.933249235153198242e-01,2.956181907653808594e+01,1.439999961853027344e+01,-1.000000000000000000e+00,5.500000000000000000e+02,2.500000000000000000e+01,5.450000000000000000e+02,2.000000000000000000e+01,1.401057392358779907e-01,3.854954242706298828e-02,7.309091091156005859e-01,0.000000000000000000e+00,6.933243870735168457e-01,7.596923828125000000e+01
6.937060952186584473e-01,6.933243870735168457e-01,1.113926395773887634e-01,6.933243870735168457e-01,2.913818168640136719e+01,1.136363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.440000000000000000e+02,6.000000000000000000e+00,1.414921134710311890e-01,1.171875000000000000e-02,7.599999904632568359e-01,0.000000000000000000e+00,6.933243870735168457e-01,7.746759796142578125e+01
