r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
5.865666866302490234e-01,5.865666866302490234e-01,1.789695918560028076e-01,5.864765048027038574e-01,2.523999977111816406e+01,4.509090805053710938e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.507171392440795898e-01,1.562500000000000000e-02,5.309090614318847656e-01,0.000000000000000000e+00,5.864631533622741699e-01,4.896262168884277344e+00
5.877476930618286133e-01,5.877476930618286133e-01,1.710992306470870972e-01,5.872296094894409180e-01,2.294727325439453125e+01,2.600000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.304493993520736694e-01,2.734375000000000000e-02,5.600000023841857910e-01,0.000000000000000000e+00,5.868858098983764648e-01,6.762753486633300781e+00
5.888096094131469727e-01,5.888096094131469727e-01,1.742279231548309326e-01,5.881466269493103027e-01,2.425272750854492188e+01,3.915789413452148438e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.900000000000000000e+01,5.500000000000000000e+02,1.900000000000000000e+01,1.413495093584060669e-01,1.171875000000000000e-02,5.490909218788146973e-01,0.000000000000000000e+00,5.880883336067199707e-01,8.546953201293945312e+00
5.888096094131469727e-01,5.860984921455383301e-01,1.745089590549468994e-01,5.860890150070190430e-01,2.299272727966308594e+01,1.536363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.325837373733520508e-01,5.199960991740226746e-02,5.454545617103576660e-01,0.000000000000000000e+00,5.860880613327026367e-01,1.027322292327880859e+01
5.888096094131469727e-01,5.881479382514953613e-01,1.587439775466918945e-01,5.877761244773864746e-01,2.358363723754882812e+01,2.961538505554199219e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.300000000000000000e+01,5.500000000000000000e+02,1.300000000000000000e+01,1.372031271457672119e-01,2.734375000000000000e-02,6.072727441787719727e-01,0.000000000000000000e+00,5.876183509826660156e-01,1.195246601104736328e+01
5.903473496437072754e-01,5.903473496437072754e-01,1.797260493040084839e-01,5.901948213577270508e-01,2.570363616943359375e+01,4.590909194946289062e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.552134007215499878e-01,5.468750000000000000e-02,5.381818413734436035e-01,0.000000000000000000e+00,5.900697112083435059e-01,1.381594276428222656e+01
5.903473496437072754e-01,5.864880681037902832e-01,1.751585453748703003e-01,5.860649347305297852e-01,2.317636299133300781e+01,2.154545402526855469e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.317277103662490845e-01,3.906250000000000000e-03,5.363636612892150879e-01,0.000000000000000000e+00,5.858706235885620117e-01,1.557224464416503906e+01
5.903473496437072754e-01,5.871532559394836426e-01,1.616372913122177124e-01,5.868365764617919922e-01,2.474545478820800781e+01,3.471428680419921875e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.400000000000000000e+01,5.500000000000000000e+02,1.400000000000000000e+01,1.363393068313598633e-01,2.343750000000000000e-02,5.963636636734008789e-01,0.000000000000000000e+00,5.867258906364440918e-01,1.732955360412597656e+01
5.904238224029541016e-01,5.904238224029541016e-01,1.732508540153503418e-01,5.893111824989318848e-01,2.504545402526855469e+01,4.400000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.446793526411056519e-01,3.515625000000000000e-02,5.618181824684143066e-01,0.000000000000000000e+00,5.883411169052124023e-01,1.904576110839843750e+01
5.904238224029541016e-01,5.871155261993408203e-01,1.554552018642425537e-01,5.868329405784606934e-01,2.369272804260253906e+01,1.200000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.323747783899307251e-01,2.343750000000000000e-02,5.963636636734008789e-01,0.000000000000000000e+00,5.865141153335571289e-01,2.059135246276855469e+01
5.904238224029541016e-01,5.867627263069152832e-01,1.506183147430419922e-01,5.867164731025695801e-01,3.112363624572753906e+01,8.809091186523437500e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.958904564380645752e-01,1.445312500000000000e-01,6.236363649368286133e-01,0.000000000000000000e+00,5.866935849189758301e-01,2.264393615722656250e+01
5.904238224029541016e-01,5.871670842170715332e-01,1.600605100393295288e-01,5.867732763290405273e-01,2.736545372009277344e+01,4.918181991577148438e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.490358114242553711e-01,4.687500000000000000e-02,6.145454645156860352e-01,0.000000000000000000e+00,5.867062211036682129e-01,2.445864295959472656e+01
