Complexity,Loss,Equation
1,0.9794361,"x0"
2,0.86065084,"exp(x0)"
3,0.36814946,"(x0 * 2.3482857)"
4,0.34331185,"(exp(x0) * x0)"
5,0.3321235,"((x0 * 1.9349502) ^ 1.5164083)"
6,0.32652274,"(x0 / sin(0.37993312 / x0))"
7,0.31268626,"(x0 / sin(sin(0.37993926 / x0)))"
8,0.3050466,"(x0 / sin(sin(sin(0.3799423 / x0))))"
9,0.3020861,"(sin(x0 / 0.72278154) / sin(0.3794052 / x0))"
10,0.30098,"(sin(x0 / 0.7749727) / sin(sin(0.3794052 / x0)))"
11,0.3002005,"((x0 / 0.7939232) / sin(sin(0.3794052 / sin(sin(x0)))))"
12,0.29767752,"((x0 ^ cos(sin(x0 / 0.05710714))) / sin(0.3794052 / x0))"
13,0.29326034,"((x0 ^ cos(cos(-0.7135126 / x0))) / sin(sin(0.3794052 / x0)))"
14,0.29158503,"((x0 ^ cos(cos(-0.7135126 / x0))) / sin(sin(sin(0.3794052 / x0))))"
15,0.27956012,"((x0 / cos(sin(sin(0.9476523 / log(x0))))) / sin(0.3794052 / sin(x0)))"
16,0.27538186,"((sin(x0) / cos(sin(sin(0.9476523 / sin(log(x0)))))) / sin(0.3794052 / x0))"
17,0.27433094,"((sin(x0) / cos(sin(sin(0.9476523 / sin(sin(log(x0))))))) / sin(0.3794052 / x0))"
18,0.27359027,"((sin(x0) / cos(sin(sin(0.9476523 / sin(sin(sin(log(x0)))))))) / sin(0.3794052 / x0))"
19,0.27305213,"((sin(x0) / cos(sin(sin(0.9476523 / sin(sin(sin(sin(log(x0))))))))) / sin(0.3794052 / x0))"
20,0.27269816,"((sin(x0) / cos(sin(sin(-0.94701356 / sin(sin(sin(sin(sin(log(x0)))))))))) / sin(0.3794052 / x0))"
