Complexity,Loss,Equation
1,1.0864171,"x0"
2,0.9117393,"exp(x0)"
3,0.4317133,"(x0 * 2.3714855)"
4,0.3789004,"(exp(x0) * x0)"
5,0.3606166,"((4.1091914 ^ x0) + -1.1283998)"
6,0.36054003,"(exp(1.7660367 ^ x0) + -2.869048)"
7,0.3604294,"(((4.670486 ^ x0) * 0.8487476) + -0.9496239)"
8,0.36005893,"(((4.6040716 ^ x0) + -2.1296277) + cos(x0))"
9,0.3591907,"((x0 * (3.3218665 ^ (x0 ^ x0))) - 0.24978548)"
10,0.35889685,"((exp((x0 * 1.2008282) ^ x0) * x0) + -0.18788375)"
11,0.35809383,"(((4.8814697 - cos(sin(x0 / -0.04097043))) ^ x0) + -1.1313624)"
12,0.35572132,"(((4.8814697 - cos(sin(-0.6730735 / log(x0)))) ^ x0) + -1.1297879)"
13,0.3536952,"(((4.8814697 - cos(sin(0.01878865 ^ (-0.52865547 - x0)))) ^ x0) + -1.1294107)"
15,0.3536915,"(((4.8814697 - cos(sin(log(exp(0.01878865)) ^ (-0.52865547 - x0)))) ^ x0) + -1.1294107)"
16,0.35347155,"(((4.8814697 - cos(cos(4.1092324 / cos(exp(cos(x0)))) + 0.1391581)) ^ x0) + -1.1297879)"
18,0.35283634,"(((4.8814697 - (cos(cos(4.1092324 / cos(exp(cos(x0)))) - -0.18699825) ^ x0)) ^ x0) + -1.1297879)"
19,0.3528363,"(((4.8814697 - (cos(cos(4.1092324 / cos(exp(cos(x0)))) - sin(-0.18699825)) ^ x0)) ^ x0) + -1.1297879)"
20,0.35273153,"(((4.8814697 - (cos(cos(4.1092324 / cos(exp(cos(x0)))) + 0.17145352) ^ (0.091477334 + x0))) ^ x0) + -1.1297879)"
