Complexity,Loss,Equation
1,0.9733922,"x0"
2,0.79463804,"exp(x0)"
3,0.31961778,"(x0 * 2.3750362)"
4,0.26738513,"(exp(x0) * x0)"
5,0.24922326,"((x0 ^ 1.708217) * 2.9159722)"
7,0.24921519,"(((x0 ^ 1.697207) * 2.9205685) - 0.007263744)"
8,0.24917363,"(((sin(x0) * 3.0566094) + 0.31195188) * x0)"
9,0.24904366,"((x0 + -0.055900753) * (4.4967914 ^ sin(sin(x0))))"
11,0.24841586,"((x0 ^ 1.708217) * (2.9076464 + (0.0033944747 / (x0 + -0.30921745))))"
12,0.24764307,"((x0 ^ 1.708217) * ((-0.0037986792 / sin(2.9159722 + x0)) + 2.9159722))"
13,0.2469339,"((x0 ^ 1.708217) * ((0.0033944747 / sin(exp(x0) / -0.30964014)) + 2.9159722))"
15,0.24553174,"((x0 ^ 1.708217) * ((0.0033944747 / sin((exp(x0) / -0.30964014) * 1.621182)) + 2.9159722))"
16,0.24552856,"((x0 ^ 1.708217) * ((0.0033944747 / sin(sin((exp(x0) / -0.30964014) * 1.621182))) + 2.9159722))"
17,0.24552585,"((x0 ^ 1.708217) * ((0.0033944747 / sin(sin(sin((exp(x0) / -0.30964014) * 1.621182)))) + 2.9159722))"
18,0.2452548,"((x0 ^ 1.708217) * (2.9159722 + (0.0033944747 / (sin((exp(x0) / log(0.73371094)) * 1.621182) / 1.3839769))))"
19,0.24525094,"((x0 ^ 1.708217) * (2.9159722 + (0.0033944747 / (sin(sin((exp(x0) / log(0.73371094)) * 1.621182)) / 1.3839769))))"
20,0.24524772,"((x0 ^ 1.708217) * (2.9159722 + (0.0033944747 / (sin(sin(sin((exp(x0) / log(0.73371094)) * 1.621182))) / 1.3839769))))"
