Complexity,Loss,Equation
1,0.68936,"x0"
2,0.5551138,"exp(x0)"
3,0.07739288,"(x0 * 2.3570044)"
4,0.02386033,"(exp(x0) * x0)"
5,0.010012816,"((3.0239582 ^ x0) * x0)"
6,0.010012815,"(x0 * exp(x0 / 0.9037154))"
7,0.009978431,"((3.0092258 ^ (x0 ^ 0.97024053)) * x0)"
8,0.009912598,"(((x0 + 2.6689203) ^ sin(x0)) * x0)"
10,0.009882231,"((3.2340322 ^ sin(exp(cos(x0)) - -0.25971234)) * x0)"
12,0.009874605,"(((2.5932448 - cos(exp(x0))) - (cos(x0) ^ x0)) * x0)"
13,0.009863797,"(((((1.957027 ^ sin(x0)) * sin(x0)) ^ 1.4855896) + 1.1920136) * x0)"
14,0.009792814,"(((cos(cos(cos(log(x0) / x0))) + 2.6689255) ^ x0) * sin(x0))"
16,0.00978752,"(((cos(cos(cos(cos(x0 / -0.6032075) / x0))) + 2.6689255) ^ x0) * sin(x0))"
18,0.009782184,"(((cos(cos(cos(cos(x0 / -0.60342896) / (x0 ^ 1.0482695)))) + 2.6689255) ^ x0) * sin(x0))"
20,0.009778971,"((((x0 ^ sin(x0 ^ (sin(-0.77360165 / (x0 / 1.6865379)) - 0.106447175))) + 2.6689255) ^ sin(x0)) * x0)"
