Complexity,Loss,Equation
1,1.3872257,"x0"
3,1.0100914,"(x0 * 2.1064496)"
4,0.908871,"(exp(x0) * x0)"
5,0.8929855,"((x0 * 1.6599509) ^ 2.065257)"
6,0.8917119,"((cos(x0) * -6.22382) + 6.1557)"
7,0.88648593,"(exp(sin(1.5081214 / x0)) * x0)"
8,0.88032275,"(exp(sin(1.434911 / sin(x0))) * x0)"
9,0.8794106,"(x0 * (2.6438897 ^ sin(1.434911 / sin(x0))))"
10,0.87448376,"(((x0 / sin(0.5857956 / x0)) + 0.9518585) * x0)"
11,0.86987275,"((exp(x0) - (-0.004440059 / cos(-1.3296096 / x0))) * x0)"
12,0.8552222,"(((x0 * 2.8132915) - (-0.004440059 / cos(-1.3296096 / x0))) * x0)"
13,0.8552059,"(((x0 * 2.8132915) - (-0.004440059 / sin(cos(-1.3296096 / x0)))) * x0)"
14,0.85464245,"((((x0 * 2.8132915) - (-0.004440059 / cos(-1.3296096 / x0))) * x0) - 0.041142505)"
16,0.8545844,"((((x0 + (x0 / 0.52439475)) - (-0.004678758 / cos(-1.3296096 / x0))) * x0) + -0.042119157)"
17,0.85457194,"((((x0 + (x0 / 0.52439475)) - (-0.004678758 / sin(cos(-1.3296096 / x0)))) * x0) + -0.042119157)"
18,0.85060734,"(((x0 / sin(0.5853113 / x0)) + ((x0 / 0.5857956) ^ sin(0.8983439 / x0))) * sin(x0))"
19,0.8462181,"(((x0 / sin(0.5853113 / x0)) + (x0 ^ cos(exp(sin(0.5853113 / x0) - -0.8009866)))) * x0)"
20,0.83875054,"(((x0 / sin(0.5853113 / x0)) + (x0 ^ cos(exp(x0 / sin(exp(x0) / x0))))) * x0)"
