Complexity,Loss,Equation
1,0.8486555,"x0"
2,0.7055934,"exp(x0)"
3,0.23936938,"(x0 * 2.334308)"
4,0.17586815,"(exp(x0) * x0)"
5,0.16229285,"((3.0186126 ^ x0) * x0)"
7,0.16220737,"(((3.077767 ^ x0) - 0.042010915) * x0)"
8,0.16162333,"(((5.1606793 ^ sin(x0)) - x0) * x0)"
9,0.16154929,"(x0 * (2.9070153 ^ (x0 ^ sin(exp(x0)))))"
10,0.1612315,"(((x0 * 2.8446767) + sin(0.1367009 / x0)) * x0)"
12,0.16111869,"((exp(x0) + 0.20090538) * ((x0 ^ 1.156073) ^ sin(exp(x0))))"
14,0.1608055,"(((cos((0.58928186 / x0) / x0) + 3.6141965) ^ sin(x0)) * sin(x0))"
15,0.16055095,"(((cos((0.58928186 / sin(x0)) / x0) + 3.6141965) ^ sin(x0)) * sin(x0))"
17,0.16052717,"(((cos((0.58928186 / (x0 ^ 0.9683369)) / sin(x0)) + 3.6141965) ^ sin(x0)) * sin(x0))"
19,0.16045655,"(((sin(sin(cos((0.6301697 / sin(x0)) ^ 3.0186126))) + (x0 + 2.6774013)) ^ sin(x0)) * sin(x0))"
