Complexity,Loss,Equation
1,1.1623743,"x0"
2,1.056689,"exp(x0)"
3,0.553572,"(x0 * 2.3744788)"
4,0.49820167,"(exp(x0) * x0)"
5,0.47362837,"((x0 * 1.870146) ^ 1.7584517)"
6,0.47339207,"(sin(x0 ^ 1.9553658) * 3.4387884)"
8,0.47326022,"(((3.8278236 ^ sin(x0)) * x0) + -0.06983829)"
9,0.47254363,"((2.8545585 ^ sin(x0 / cos(x0))) * x0)"
11,0.47209883,"(((2.996154 ^ sin(x0 / cos(x0))) + -0.12049749) * x0)"
12,0.46975866,"(((x0 * 1.8956348) ^ 1.7272276) + (0.107394256 * sin(x0 / 0.020046374)))"
13,0.46975532,"(((x0 * 1.8956348) ^ 1.7272276) + (sin(0.107394256) * sin(x0 / 0.020046374)))"
14,0.46756375,"(((x0 * 1.8956348) ^ 1.7272276) + (0.107394256 * sin((x0 / 0.020046374) / -0.2363305)))"
15,0.4675429,"(((x0 * 1.8956348) ^ 1.7272276) + (0.107394256 * sin((x0 / sin(0.020046374)) / -0.2363305)))"
16,0.46644643,"(((x0 * 1.8956348) ^ 1.7272276) + (0.107394256 * sin(((x0 + -0.35543996) / 0.020046374) / -0.2363305)))"
17,0.46597606,"(((x0 * 1.8956348) ^ 1.7272276) + (0.107394256 * sin((exp(1.1743375) / x0) / (0.020046374 + -0.05727196))))"
18,0.4658512,"(((x0 * 1.8956348) ^ 1.7272276) + (0.107394256 * sin((exp(1.1743375) / x0) / (sin(0.020046374) + -0.05727196))))"
20,0.4650571,"(((x0 * 1.8956348) ^ 1.7272276) + (0.107394256 * sin((((1.1743375 / x0) + exp(cos(x0))) / 0.020046374) + x0)))"
