Complexity,Loss,Equation
1,0.7765864,"x0"
2,0.72050524,"exp(x0)"
3,0.2317297,"(x0 * 2.2847316)"
4,0.1801732,"(x0 * exp(x0))"
5,0.17244343,"((2.9526927 ^ x0) * x0)"
6,0.1724434,"((exp(x0) ^ 1.0828718) * x0)"
7,0.17235674,"((2.9290574 ^ (x0 ^ 0.9530989)) * x0)"
8,0.17166635,"(x0 / sin(0.38816577 / (x0 + 0.10456657)))"
9,0.17164004,"(x0 / sin(0.38816577 / (x0 + sin(0.10456657))))"
10,0.17133088,"((x0 / sin(0.39103296 / (x0 + 0.10495063))) - -0.024155973)"
11,0.17038432,"(exp(x0 ^ sin(sin(exp(x0)) ^ -2.6736493)) * x0)"
12,0.16985857,"(exp(x0 ^ sin(sin(sin(exp(x0)) ^ -2.6736493))) * x0)"
14,0.16970599,"(((cos(sin(x0 / (0.14869753 * 0.02601815))) - -2.627775) ^ sin(x0)) * x0)"
15,0.16845714,"(((cos(sin(sin(-2.8463788 / log(x0)) + x0)) - -2.2006388) ^ x0) * x0)"
17,0.16812217,"(((cos(sin((sin(-2.8463788 / log(x0)) + x0) - -0.20878333)) - -2.2006388) ^ x0) * x0)"
19,0.16811734,"(((cos(sin((sin(-2.8463788 / log(x0)) + x0) - (-0.20878333 * x0))) - -2.2006388) ^ x0) * x0)"
20,0.16802654,"(((((cos(sin(x0 / (log(x0) - -0.38954598))) ^ exp(x0)) ^ x0) - -2.627775) ^ x0) * sin(x0))"
