Complexity,Loss,Equation
1,0.7681283,"x0"
2,0.5378122,"exp(x0)"
3,0.08477013,"(x0 * 2.3985167)"
4,0.029244801,"(exp(x0) * x0)"
5,0.0101676835,"((3.0637634 ^ x0) * x0)"
6,0.010167681,"(exp(x0 * 1.1196585) * x0)"
7,0.00997353,"(((x0 + 1.3169014) * x0) ^ 1.3044312)"
8,0.009900886,"((x0 * (exp(x0) + x0)) * 0.8156729)"
9,0.009879918,"(((2.2544858 ^ x0) + (x0 - 0.24105152)) * x0)"
10,0.009855379,"(((exp(x0) / 0.4987564) * (x0 * x0)) ^ 0.650661)"
11,0.009830116,"((((x0 * (x0 ^ x0)) ^ 0.51630485) * 3.0322566) * x0)"
14,0.009823472,"(((x0 * exp(cos(sin(sin(x0))))) + cos(sin(exp(x0)))) * x0)"
15,0.009761421,"((((sin(x0) * 2.2544858) * x0) + (0.795816 ^ sin(-0.6118278 / x0))) * x0)"
16,0.009761373,"((((x0 * 2.2544858) * sin(x0)) + (0.79491943 ^ sin(log(0.53824186) / x0))) * x0)"
17,0.009712762,"((((x0 * 2.2544858) * (sin(x0) - 0.012605712)) + (0.79491943 ^ sin(-0.70000297 / x0))) * x0)"
18,0.00971276,"((((x0 * 2.2544858) * (sin(x0) - sin(0.012605712))) + (0.79491943 ^ sin(-0.70000297 / x0))) * x0)"
20,0.009709235,"((((sin(x0) * 2.2544858) * (x0 - 0.012605712)) + (0.795816 ^ sin((-0.73980576 / x0) - cos(1.6455173)))) * x0)"
