Complexity,Loss,Equation
1,0.8847585,"x0"
2,0.87516284,"exp(x0)"
3,0.34373024,"(x0 * 2.3065789)"
4,0.28133917,"(exp(x0) * x0)"
5,0.26749134,"((x0 ^ 1.7908127) * 2.9265356)"
6,0.26747474,"(sin(x0 ^ 1.9884937) * 3.3410354)"
7,0.26722136,"(((x0 ^ 1.853227) * 2.9062884) + 0.036346126)"
8,0.26686335,"((sin(x0) * (x0 * 3.3742578)) + 0.03840708)"
9,0.26682648,"((x0 ^ (sin(exp(x0)) + 0.78410935)) * 2.8325136)"
10,0.26667726,"((((x0 ^ cos(x0)) * x0) * 2.8084033) + 0.061574664)"
11,0.26420486,"(((x0 ^ cos(cos(x0 / 0.14178477))) * x0) * 2.9033651)"
12,0.25575355,"(((x0 ^ cos(sin(sin(x0) / -0.0012045885))) * x0) * 2.9033651)"
13,0.2557524,"(((x0 ^ cos(sin(sin(x0) / sin(-0.0012045885)))) * x0) * 2.9033651)"
14,0.25496712,"(((x0 ^ (cos(sin(sin(x0) / -0.0012045885)) ^ 1.3154935)) * x0) * 2.9033651)"
15,0.2548373,"(((x0 ^ (cos(sin(sin(x0) / -0.0012045885)) ^ exp(x0))) * x0) * 2.9033651)"
16,0.25272608,"((((x0 ^ 1.2078035) ^ (cos(sin(sin(x0) / -0.0012045885)) ^ 1.8008876)) * x0) * 2.9033651)"
17,0.2511073,"((((x0 ^ 1.2346164) ^ (cos(sin(sin(x0) / -0.0012045885)) ^ exp(x0))) * x0) * 2.9033651)"
18,0.25110188,"(((x0 ^ ((cos(sin(sin(x0) / -0.0012045885)) ^ exp(x0)) / sin(0.9520617))) * x0) * 2.9033651)"
19,0.25015774,"((((x0 ^ 1.2346164) ^ (cos(sin((sin(x0) / -0.0012045885) + -0.1206103)) ^ exp(x0))) * x0) * 2.9033651)"
20,0.2501576,"((((x0 ^ 1.2346164) ^ (cos(sin((sin(x0) / sin(-0.0012045885)) + -0.1206103)) ^ exp(x0))) * x0) * 2.9033651)"
