Complexity,Loss,Equation
1,0.9286238,"x0"
3,0.42460418,"(x0 * 2.256276)"
4,0.37545976,"(exp(x0) * x0)"
5,0.36882448,"(x0 * (2.944103 ^ x0))"
7,0.3687125,"((2.9134574 ^ (x0 ^ 0.94361913)) * x0)"
8,0.36854285,"((exp(x0 ^ 0.8299403) * x0) ^ 1.0641152)"
9,0.3682994,"(((x0 ^ (x0 ^ x0)) * x0) * 2.882307)"
10,0.3679942,"(((x0 ^ (0.63309276 / cos(x0))) * 2.914748) * x0)"
11,0.36432534,"((2.9134574 ^ sin(x0 / sin(0.8064851 / x0))) * x0)"
13,0.36411738,"((2.9134574 ^ sin((x0 ^ 0.86405474) / sin(0.8064851 / x0))) * x0)"
14,0.3641013,"((2.9134574 ^ sin((x0 ^ sin(1.063978)) / sin(0.8064851 / x0))) * x0)"
15,0.36389884,"(((2.9134574 - 0.026165687) ^ sin((x0 ^ 0.86405474) / sin(0.8064851 / x0))) * x0)"
16,0.3638981,"((2.9134574 ^ sin((x0 ^ sin(1.063978 * 1.126539)) / sin(0.8064851 / x0))) * x0)"
17,0.36333156,"((2.9134574 ^ sin(x0 / sin(0.804047 / sin((x0 * x0) / sin(x0))))) * x0)"
19,0.36294085,"(((2.9134574 ^ sin(x0 / sin(0.804047 / sin((x0 * x0) / sin(x0))))) * x0) * 1.0158806)"
