Complexity,Loss,Equation
1,1.080776,"x0"
2,0.88307863,"exp(x0)"
3,0.41301623,"(x0 * 2.398976)"
4,0.34743416,"(exp(x0) * x0)"
5,0.33030564,"((3.0421567 ^ x0) * x0)"
7,0.32906142,"((x0 ^ (x0 + 1.3555164)) * 3.1059313)"
8,0.32845926,"((x0 * 1.4694566) / (cos(x0) ^ 1.2770373))"
9,0.32767254,"((x0 * (x0 * 3.2696013)) ^ (x0 ^ x0))"
10,0.32764044,"((3.2284722 ^ (x0 ^ (exp(x0) / 1.5402514))) * x0)"
11,0.3267237,"(((cos(cos(x0 / 0.24250844)) + 2.3208287) ^ x0) * x0)"
12,0.32312763,"(((cos(sin(exp(x0 * 21.284698))) + 2.3208287) ^ x0) * x0)"
14,0.32076266,"(((cos(sin(exp(x0 * 21.284698)) + 0.1964281) + 2.3208287) ^ x0) * x0)"
15,0.32076088,"(((cos(sin(exp(x0 * 21.284698)) + sin(0.1964281)) + 2.3208287) ^ x0) * x0)"
16,0.32042345,"(((cos(sin(exp(x0 * 21.284698)) + (0.1964281 / x0)) + 2.3208287) ^ x0) * x0)"
17,0.3204175,"(((cos(sin(exp(x0 * 21.284698)) + (sin(0.1964281) / x0)) + 2.3208287) ^ x0) * x0)"
18,0.31848457,"((cos(cos(exp((2.3208294 - x0) / 0.17542382))) + ((2.3208287 ^ x0) * x0)) * (x0 ^ 0.8184575))"
20,0.31834775,"((cos(cos(exp((2.3208294 - x0) / 0.17542382))) + ((2.3208287 ^ x0) * x0)) * ((x0 ^ 0.75064605) ^ 1.1253229))"
