Complexity,Loss,Equation
1,1.4554605,"x0"
2,1.3532969,"exp(x0)"
3,0.8289924,"(x0 * 2.4363766)"
4,0.79560894,"(exp(x0) * x0)"
5,0.75166136,"((x0 * 1.9488206) ^ 1.6804665)"
6,0.74884,"((exp(x0) * 1.9386487) + -2.2130306)"
8,0.74683505,"((log(x0 ^ 1.4917197) + 2.9921072) * x0)"
9,0.7466879,"((x0 + -0.16175094) * (log(sin(x0)) + 3.6854355))"
10,0.74136287,"((x0 * 3.7117944) - sin((x0 + x0) ^ -0.6116375))"
11,0.7229688,"((x0 * 3.7117944) - sin(sin((0.13539544 / x0) + 0.999874)))"
12,0.72277653,"((x0 * 3.7117944) - sin(sin((sin(0.13539544) / x0) + 0.999874)))"
13,0.7195341,"((x0 * 3.7117944) - cos(sin((1.9814193 ^ (x0 / 0.11692999)) / 1.0489533)))"
15,0.70607245,"((x0 * 3.7117944) - cos(sin(((1.9814193 ^ (x0 / 0.11692999)) - -0.2714915) / 1.0489533)))"
17,0.70196664,"((((x0 ^ cos((0.19795689 / sin(x0 / -0.08013074)) + 0.9987765)) / 0.52301645) + x0) * x0)"
18,0.69874746,"((((x0 ^ cos((0.19795689 / sin(x0 / -0.08013074)) + 0.9697625)) / sin(0.5278668)) + x0) * x0)"
19,0.67835194,"((((x0 ^ cos((0.18574421 / sin(x0 / -0.08013074)) + (x0 * 2.4409359))) / 0.5449276) + x0) * x0)"
