Complexity,Loss,Equation
1,0.78808516,"x0"
2,0.68514,"exp(x0)"
3,0.21954027,"(x0 * 2.3683465)"
4,0.18479945,"(exp(x0) * x0)"
5,0.16688417,"((x0 + 0.46784815) ^ 2.8820643)"
6,0.16615249,"((exp(x0) + 0.24795137) * x0)"
7,0.16592915,"(x0 + ((x0 + 0.25726363) ^ 3.0277512))"
9,0.16592781,"((exp(x0 * 1.2554346) * sin(x0)) - -0.03170697)"
10,0.16591626,"((exp(x0) - sin(exp(x0) + 0.6591932)) + 0.020795994)"
11,0.16573203,"((x0 + 0.47621173) ^ (3.5922456 - sin(sin(x0 ^ -0.48584077))))"
12,0.16444516,"(((exp(x0) - cos(sin(x0 / -0.08398113))) * x0) + x0)"
13,0.16377285,"(((exp(x0) - cos(sin(sin(x0 ^ -1.6710503)))) * x0) + x0)"
14,0.16358607,"(((exp(x0) - cos(sin(cos(cos(x0 / -0.08398113))))) * x0) + x0)"
15,0.16339089,"(((exp(x0) - cos(cos(cos(x0 / -0.08398113)) - 0.061583497)) * x0) + x0)"
17,0.1626966,"(((exp(x0) - cos(cos(sin(sin(exp(1.8418736 + x0)) / x0)))) * x0) + x0)"
18,0.16256817,"(((exp(x0) - cos(cos(sin(sin(exp(1.8418736 + x0)) / sin(x0))))) * x0) + x0)"
19,0.16218224,"(((exp(x0) - cos(cos(sin((sin(exp(1.8418736 + x0)) / x0) / 0.90772974)))) * x0) + x0)"
