Complexity,Loss,Equation
1,1.4903901,"x0"
2,1.3630621,"exp(x0)"
3,0.8739562,"(x0 * 2.383977)"
4,0.8139265,"(exp(x0) * x0)"
5,0.7922791,"((3.1114464 ^ x0) * x0)"
6,0.792279,"(exp(x0 * 1.1351911) * x0)"
7,0.7919199,"(((x0 ^ 2.5352917) * 2.1012993) + x0)"
8,0.79182565,"((3.812377 ^ sin(x0 ^ 1.2682523)) * x0)"
10,0.7917691,"((3.0638483 ^ (x0 ^ (cos(x0) - -0.18739183))) * x0)"
11,0.7844634,"(((cos(cos(x0 / 0.019805968)) + 2.2908814) ^ x0) * x0)"
13,0.78188646,"(((sin(exp(cos(sin(x0 / 0.019805968)))) + 2.2908814) ^ x0) * x0)"
14,0.78188366,"(((sin(exp(cos(sin(x0 / sin(0.019805968))))) + 2.2908814) ^ x0) * x0)"
15,0.78105396,"(((cos(cos(exp(exp(exp(sin(x0)))) + -0.18427914)) + 2.2908814) ^ x0) * x0)"
17,0.77882665,"((((cos(cos(exp(exp(exp(sin(x0))))) * 1.2848114) + 2.2908814) ^ x0) * x0) ^ 1.0618353)"
19,0.7764559,"((((cos(cos(exp(exp(exp(sin(x0)))) - 0.22306277) * 1.2848114) + 2.2908814) ^ x0) * x0) ^ 1.0618353)"
