Complexity,Loss,Equation
1,1.175003,"x0"
2,1.066382,"exp(x0)"
3,0.5738517,"(x0 * 2.342165)"
4,0.5094654,"(exp(x0) * x0)"
5,0.49412352,"((x0 ^ 1.7535758) * 2.9349248)"
7,0.49399593,"((x0 ^ 1.5034198) * (x0 - -1.9611053))"
8,0.49313152,"((sin(x0) ^ exp(exp(x0))) * 41.758526)"
9,0.49285704,"((x0 ^ ((x0 ^ -0.3068317) + x0)) * 2.975902)"
10,0.49275872,"(((x0 ^ exp(x0)) * 2.9712052) ^ (x0 ^ -0.50607824))"
11,0.4916853,"((x0 ^ (cos(cos(x0 ^ -2.374112)) + 1.0362375)) * 2.9882345)"
12,0.49088082,"((x0 ^ (cos(cos(sin(x0) ^ -2.374112)) + 1.0362375)) * 2.9882345)"
13,0.48791438,"((x0 ^ (cos(cos((x0 ^ -2.374112) ^ 1.020997)) + 1.051996)) * 2.9882345)"
15,0.4872304,"(((x0 ^ cos(cos((x0 ^ (-2.9533577 - -0.4580365)) - 0.22601187))) * x0) * 2.949062)"
16,0.48651028,"(((x0 ^ cos(cos(exp(exp(cos(cos(exp(x0 + x0)))))))) * x0) * 2.9299133)"
18,0.48509687,"(((x0 ^ cos(cos(exp(exp(cos(cos(exp(x0 + x0))))) + 2.93447))) * x0) * 2.9299133)"
20,0.4850924,"(((x0 ^ cos(cos(exp(exp(cos(cos(exp(x0 + x0))))) + 2.9299133) + -0.008906015)) * x0) * 2.9299133)"
