Complexity,Loss,Equation
1,0.9462047,"x0"
2,0.8808178,"exp(x0)"
3,0.34267324,"(x0 * 2.3544247)"
4,0.26061687,"(exp(x0) * x0)"
5,0.24491169,"((x0 ^ 1.8541507) * 2.964048)"
7,0.2447571,"(((x0 * 2.6870728) + 0.29107472) * x0)"
8,0.24468206,"(((4.251429 ^ sin(x0)) + -0.39087975) * x0)"
9,0.24440905,"((x0 ^ (sin(exp(x0)) + 0.87514555)) * 2.9233086)"
10,0.24428618,"(((cos(x0 ^ -0.8137491) + 1.3414346) + x0) * x0)"
11,0.24370313,"(((sin(cos(x0 ^ -0.8224148)) + 1.3484772) + x0) * x0)"
12,0.24266434,"((cos(x0 / (x0 + -0.27993014)) - -2.7892413) * (x0 ^ 1.58506))"
13,0.24007407,"(((cos(sin(exp(exp(2.359099)) ^ x0)) + 2.3438268) * x0) * x0)"
14,0.23588754,"(((cos(sin(exp(exp(exp(x0)) * 1.2306159))) + 2.359099) * x0) * x0)"
15,0.2314663,"(((sin(exp(sin(exp(exp(exp(x0)) * 1.2306159)))) + 2.3915026) * x0) * x0)"
16,0.22870642,"(((cos(sin(exp(exp(exp(x0)) * 1.2306159)) - 0.24491717) + 2.359099) * x0) * x0)"
18,0.22591089,"(((sin(exp(cos(sin(exp(exp(exp(x0)) * 1.2306159)) + x0))) + 2.359099) * x0) * x0)"
20,0.2252094,"((((sin(exp(cos(sin(exp(exp(exp(x0)) * 1.2306159)) + x0))) + 2.3459077) * x0) * x0) - -0.029208828)"
