Complexity,Loss,Equation
1,1.4780439,"x0"
3,0.97128683,"(x0 * 2.2567313)"
4,0.8906882,"(exp(x0) * x0)"
5,0.8807955,"((x0 + 0.42564172) ^ 3.1589487)"
6,0.8795379,"((exp(x0) * x0) ^ 1.1165987)"
7,0.87935334,"((3.1985877 ^ x0) * (x0 - 0.0483064))"
10,0.8792449,"((exp(x0 * (1.137196 ^ x0)) * x0) + -0.04642042)"
11,0.8768458,"(((3.8846672 - cos(cos(x0 / -0.10979103))) * x0) * x0)"
12,0.8757776,"(((exp(0.82197064) + cos(cos(exp(exp(x0))))) * x0) * x0)"
13,0.8731099,"(((exp(cos(cos(sin(exp(exp(x0)))))) + x0) ^ x0) * x0)"
14,0.87126,"(((exp(x0) + 0.8044256) - cos(sin(exp(exp(x0))) - -0.2944775)) * x0)"
16,0.8686972,"(((exp(x0) + (x0 ^ x0)) - cos(sin(exp(exp(x0))) - -0.22940153)) * x0)"
17,0.8685023,"(((exp(x0) + (x0 ^ sin(x0))) - cos(sin(exp(exp(x0))) - -0.22940153)) * x0)"
18,0.8662766,"(((exp(x0) + (x0 ^ 0.30906826)) - cos(sin(exp(exp(x0 + 0.7799322))) - -0.20821163)) * x0)"
20,0.86625487,"(((exp(x0) + (x0 ^ 0.30906826)) - cos(sin(exp(exp(x0 + 0.7799322))) - (-0.20821163 / 1.0183315))) * x0)"
