Complexity,Loss,Equation
1,0.69347245,"x0"
2,0.5955234,"exp(x0)"
3,0.10935897,"(x0 * 2.3481398)"
4,0.058691137,"(exp(x0) * x0)"
5,0.043517742,"((3.0504327 ^ x0) * x0)"
7,0.04344089,"((3.027519 ^ (x0 ^ 0.956366)) * x0)"
8,0.043388978,"((x0 / sin(0.33300647 ^ x0)) - 0.028676149)"
9,0.043387726,"(((3.0584335 ^ x0) * (x0 ^ 0.932281)) + -0.029576395)"
10,0.043386776,"(((exp(x0) * (2.0228076 ^ x0)) - 1.039965) * 0.6808178)"
11,0.043382663,"(((3.007466 ^ x0) * x0) - (cos(log(x0)) * -0.025498202))"
12,0.043168347,"(((3.007466 ^ x0) * x0) + (sin(x0 ^ -1.4318705) * 0.031065803))"
13,0.043168344,"(((3.007466 ^ x0) * x0) + sin(sin(x0 ^ -1.4318705) * 0.031065803))"
14,0.04314282,"(((3.027519 ^ x0) * x0) - (sin((x0 ^ -1.4318705) - x0) * -0.03246062))"
15,0.04292721,"((3.0129235 ^ (x0 ^ cos(log(cos(cos(3.0442195 / (x0 * 0.2107951))))))) * x0)"
16,0.04290738,"((3.0129235 ^ (x0 ^ cos(log(cos(cos(-3.040468 / sin(x0 * 0.2107951))))))) * x0)"
17,0.042714495,"(((3.0584335 ^ x0) * (x0 ^ (cos(cos(-1.18782 / (x0 * -0.08261002))) ^ 0.25796583))) + -0.029576395)"
18,0.042707063,"(((3.0584335 ^ x0) * (x0 ^ (cos(cos(-1.18782 / sin(x0 * -0.08261002))) ^ 0.25804546))) + -0.029576395)"
19,0.04265818,"(((3.0584335 ^ x0) * (x0 ^ (cos(cos((-1.18782 / (x0 * -0.08261002)) - -0.14318304)) ^ 0.25804546))) + -0.029576395)"
20,0.042656574,"(((3.0584335 ^ x0) * (x0 ^ (cos(cos((-1.18782 / sin(x0 * -0.08261002)) - -0.14318304)) ^ 0.25804546))) + -0.029576395)"
