Complexity,Loss,Equation
1,1.3892915,"x0"
2,0.9688077,"exp(x0)"
3,0.49379146,"(x0 * 2.574109)"
4,0.4794508,"(exp(x0) * x0)"
5,0.41914165,"((x0 * 3.3593473) - 0.5453982)"
6,0.41550624,"((exp(x0) * 1.9480752) - 2.225045)"
7,0.41367292,"((x0 * (x0 + 2.3338714)) - 0.37327763)"
8,0.41304612,"(((exp(x0) + x0) * 1.2375518) - 1.6188161)"
9,0.4040173,"((x0 * 3.821256) - cos(cos(x0 ^ -1.243946)))"
10,0.4001318,"((x0 * 3.622276) - sin(exp(sin(1.9002599 / x0))))"
11,0.39124414,"((x0 * 3.3264072) - (cos(sin(1.8964368 / x0)) - 0.23665522))"
12,0.3912355,"((x0 * 3.3264072) - (cos(sin(1.8964368 / x0)) - sin(0.23665522)))"
13,0.3829022,"((x0 * 3.7797856) - cos(sin(1.9002599 / x0) / (x0 + 0.580211)))"
14,0.3826986,"((x0 * 3.821256) - cos(sin(1.900582 / x0) / (exp(x0) + -0.43821377)))"
15,0.37924933,"((x0 * 3.821256) - cos((sin(1.900582 / x0) + -0.0879257) / (x0 + 0.59368813)))"
16,0.37794706,"((x0 * 3.8510115) - cos((sin(1.900582 / x0) - 0.09594525) / (exp(x0) + -0.43821377)))"
17,0.3776332,"((x0 * 3.821256) - cos((sin(1.900582 / x0) - 0.09594525) / (exp(sin(x0)) + -0.43684375)))"
18,0.37564853,"((x0 * 3.821256) - cos(sin(1.900582 / x0) / (x0 + sin(cos(cos(-0.6672554 / x0))))))"
19,0.37352842,"((x0 * 3.8510115) - cos((sin(1.900582 / x0) / (x0 + cos(cos(0.6988227 / x0)))) + -0.15011477))"
20,0.37077743,"((x0 * 3.821256) - cos((sin(1.900582 / x0) + -0.13125938) / (x0 + sin(cos(cos(-0.6672554 / x0))))))"
