Complexity,Loss,Equation
1,1.0531456,"x0"
2,1.0000998,"exp(x0)"
3,0.49816054,"(x0 * 2.3226821)"
4,0.46098673,"(exp(x0) * x0)"
5,0.44976336,"((3.9494877 ^ x0) + -1.0670024)"
8,0.44973457,"((x0 ^ (1.4805069 / cos(x0))) * 3.0169022)"
9,0.44943562,"((x0 ^ (1.2843136 / sin(cos(x0)))) * 2.9798565)"
11,0.44770324,"((x0 ^ (cos(cos(x0 ^ -1.4568428)) + 0.8490979)) * 2.8531623)"
12,0.44745404,"((x0 ^ (cos(sin(cos(x0 ^ -1.4713289))) + 0.8374996)) * 2.8906267)"
13,0.44710413,"(x0 * ((3.0026186 ^ x0) + sin(-0.011385075 / (log(x0) + x0))))"
14,0.44702604,"(x0 * ((3.0026186 ^ x0) + sin(-0.011385075 / sin(log(x0) + x0))))"
15,0.44644782,"(x0 * ((3.0026186 ^ (x0 ^ 0.929469)) + sin(-0.011385075 / (log(x0) + x0))))"
16,0.44631204,"(x0 * ((3.0026186 ^ (x0 ^ 0.9138632)) + sin(-0.011385075 / sin(log(x0) + x0))))"
17,0.44601375,"((x0 ^ (cos(cos(exp(sin((x0 ^ (-0.59716135 - 0.65540975)) + -0.97605824)))) + 0.8864124)) * 2.8906267)"
18,0.44582102,"((x0 * ((3.0026186 ^ (x0 ^ sin(0.93838966))) + sin(-0.011385075 / (log(x0) + x0)))) / 1.0366807)"
19,0.44513857,"((x0 ^ (cos(cos(exp(sin((x0 ^ (-1.4733922 - 0.65540975)) - 0.26610038)) - x0)) + 0.8864124)) * 2.8906267)"
20,0.44507778,"((x0 ^ (cos(cos(exp(sin((x0 ^ (-1.4733922 - 0.65540975)) - 0.26610038)) - sin(x0))) + 0.8864124)) * 2.8906267)"
