Complexity,Loss,Equation
1,1.469125,"x0"
2,1.1735549,"exp(x0)"
3,0.67857385,"(x0 * 2.5087411)"
4,0.6525729,"(exp(x0) * x0)"
5,0.6018049,"((x0 * 1.9559265) ^ 1.6531953)"
6,0.5785692,"(x0 / sin(0.28659156 / x0))"
7,0.54746926,"(x0 / sin(0.28595808 / sin(x0)))"
8,0.5455399,"(x0 / sin(sin(0.28595808 / sin(x0))))"
9,0.53668797,"(sin(x0) / sin(0.2875229 / (x0 + 9.075697e-5)))"
10,0.53371483,"(sin(x0) / sin(sin(0.2875229 / (x0 + 9.075697e-5))))"
11,0.53228456,"(sin(x0 - -0.031516723) / sin(0.2875229 / (x0 - -8.6672015e-5)))"
12,0.530702,"(sin(sin(x0) * 1.1943498) / sin(0.2875229 / (x0 + 9.075697e-5)))"
13,0.5296211,"(sin(x0 - ((-0.031516723 * 0.09259953) / x0)) / sin(0.2875229 / x0))"
14,0.49125955,"((x0 * 3.661902) - cos(0.38753602 / (sin(x0 ^ log(x0)) - 0.10629029)))"
15,0.4897227,"((x0 * 3.661902) - cos(0.38753602 / sin(sin(x0 ^ log(x0)) - 0.10629029)))"
16,0.471,"((x0 * 3.6618922) - cos(-0.4096211 / (sin((x0 ^ log(x0)) + -0.10227118) - 0.1704726)))"
17,0.47054595,"((x0 * 3.6618922) - cos(-0.4096211 / (sin((x0 ^ log(x0)) + -0.10227118) - sin(0.1704726))))"
18,0.46792904,"((x0 * 3.661902) - cos(-0.38643825 / (sin((log(exp(x0)) ^ log(x0)) + -0.09322079) - 0.18226697)))"
20,0.46720138,"((x0 * 3.661902) - cos((-0.4096211 / (sin((log(exp(x0)) ^ log(x0)) + -0.09322079) - 0.17801248)) - -0.059944954))"
