Complexity,Loss,Equation
1,0.81220675,"x0"
2,0.6980277,"exp(x0)"
3,0.2313344,"(x0 * 2.34926)"
4,0.18269852,"(exp(x0) * x0)"
5,0.16654292,"((x0 + 0.45533416) ^ 2.9677823)"
7,0.16622877,"(((x0 ^ 0.8580905) + 0.41020256) ^ 3.2083461)"
9,0.16622871,"((x0 + 0.45919773) ^ ((x0 ^ -0.13759853) + 1.9183635))"
11,0.16590126,"((x0 + 0.47550082) ^ (3.6356332 - sin(x0 ^ log(x0))))"
12,0.16558626,"((x0 + 0.46930876) ^ (3.6356332 - sin(sin(x0 ^ log(x0)))))"
13,0.16327372,"((x0 + 0.4619531) ^ (exp(-0.21861653 / sin(x0 ^ -0.7451482)) + 2.0859504))"
14,0.16325949,"((x0 + 0.4619531) ^ (exp(sin(-0.21861653) / sin(x0 ^ -0.7451482)) + 2.0859504))"
15,0.16292533,"((x0 + 0.46048445) ^ ((exp(-0.21861653 / sin(x0 ^ -0.7451482)) * 1.0958139) + 2.0859504))"
16,0.16291863,"((x0 + 0.46048445) ^ ((exp(-0.21861653 / sin(sin(x0 ^ -0.7451482))) * 1.0958139) + 2.0859504))"
17,0.16254224,"((x0 + 0.46048445) ^ (exp(log(sin(2.1965685)) / sin((x0 ^ -0.7451482) - -0.01565106)) + 2.1180348))"
18,0.16254209,"((x0 + 0.46048445) ^ (exp(sin(log(sin(2.1965685))) / sin((x0 ^ -0.7451482) - -0.01565106)) + 2.1180348))"
19,0.16239965,"((x0 + 0.45919773) ^ (exp(log(sin(x0 ^ 0.06408239)) / sin((x0 ^ -0.7451482) - -0.01565106)) + 2.1180348))"
20,0.16231726,"((x0 + 0.46048126) ^ (exp(log(sin(sin(x0 + 0.9302787))) / sin((x0 ^ -0.7451482) - -0.01565106)) + 2.1180348))"
