Complexity,Loss,Equation
1,1.4443401,"x0"
2,1.2706995,"exp(x0)"
3,0.7086084,"(x0 * 2.538774)"
4,0.6741436,"(exp(x0) * x0)"
5,0.6070201,"((x0 * 1.9416865) ^ 1.7515594)"
6,0.5991679,"((5.7749066 ^ sin(x0)) - 1.3212001)"
7,0.5971685,"((x0 * 2.8160806) * cos(log(x0)))"
8,0.5950796,"(((log(x0) * 1.7882359) + 3.1443057) * x0)"
9,0.5919565,"((x0 * (2.0162048 + x0)) * cos(log(x0)))"
11,0.59175223,"((x0 * (2.0162048 + x0)) * cos(log(x0) + 0.028156245))"
12,0.5858242,"((((x0 / sin(x0 ^ -0.7020086)) + x0) + 0.9748613) * x0)"
13,0.5707857,"(((x0 / sin(x0 ^ -0.7020086)) + (log(x0) + 1.9810487)) * x0)"
14,0.56820357,"(((x0 + (x0 / sin(x0 ^ -0.7020086))) + cos(log(x0))) * x0)"
15,0.5668693,"(((sin(x0) / sin(sin(x0 ^ -0.7020086))) + (log(x0) + 1.9810487)) * x0)"
16,0.5612125,"(((cos(log(x0)) + (x0 / sin(x0 ^ -0.7020086))) + cos(log(x0))) * x0)"
17,0.5591927,"(((cos(log(x0)) + (sin(x0) / sin(x0 ^ -0.7020086))) + cos(log(x0))) * x0)"
18,0.5580957,"(((cos(log(x0)) + ((x0 / sin(x0 ^ -0.7020086)) / 1.1175566)) + cos(log(x0))) * x0)"
19,0.5578983,"(((cos(log(x0)) + ((x0 * 0.7858207) / sin(sin(x0 ^ -0.7020086)))) + cos(log(x0))) * x0)"
20,0.55656713,"(((sin(x0 / sin(sin(exp(x0)))) + (x0 / sin(x0 ^ -0.7020086))) + cos(log(x0))) * x0)"
