Complexity,Loss,Equation
1,0.91049594,"x0"
2,0.7953946,"exp(x0)"
3,0.31917274,"(x0 / 0.4228983)"
4,0.26630884,"(exp(x0) * x0)"
5,0.24853402,"((3.079037 ^ x0) * x0)"
7,0.24833089,"(((x0 + 3.0909247) ^ x0) - 1.0049112)"
9,0.24800779,"((3.0802445 ^ x0) * (x0 + (-0.00026185962 / x0)))"
10,0.24785125,"((x0 ^ (sin(x0 ^ 2.8375452) + 1.6289147)) * 3.1260006)"
11,0.24621198,"(((x0 ^ cos(sin(x0 * -8.459319))) * 2.9796455) * x0)"
12,0.24404727,"(((x0 ^ cos(sin(-8.459319 / sin(x0)))) * 2.9796455) * x0)"
14,0.24208082,"((3.0815725 ^ x0) * (x0 - (sin(exp(exp(x0)) * -1.3306718) * 0.06679928)))"
15,0.24191922,"((((x0 * 2.3399217) ^ x0) + cos(sin((x0 * 10.053506) ^ x0))) * x0)"
16,0.2413397,"(((3.0815725 ^ x0) * (x0 - (sin(exp(exp(x0)) * -1.3306718) * 0.06679928))) + 0.035395592)"
17,0.240009,"((3.0815725 ^ x0) * (x0 - (sin(sin(exp(exp(x0)) * -1.3306718) / x0) * 0.06679928)))"
18,0.2397877,"((3.0815725 ^ x0) * (x0 - (sin(sin(sin(exp(exp(x0)) * -1.3306718)) / x0) * 0.06679928)))"
19,0.23824997,"((3.0815725 ^ x0) * (x0 - (sin(sin(exp(exp(x0)) * -1.3306718) / (x0 ^ 1.3040658)) * 0.06679928)))"
