Complexity,Loss,Equation
1,1.3535197,"x0"
2,1.2278969,"exp(x0)"
3,0.7646308,"(x0 * 2.3022356)"
4,0.6927917,"(exp(x0) * x0)"
5,0.6826308,"((x0 + 0.4373342) ^ 3.0026302)"
7,0.68145216,"(((x0 ^ 2.0696564) * 2.7967057) + 0.1491023)"
9,0.6813235,"((((2.9457371 * x0) + -0.18116856) * x0) + 0.16634938)"
10,0.68131953,"((((2.9457371 * x0) + sin(-0.18116856)) * x0) + 0.16634938)"
11,0.6739678,"(((x0 + cos(cos(x0 / -0.060196985))) + x0) * x0)"
12,0.6689576,"(((x0 + cos(cos(x0 / 0.06036046))) / cos(x0)) * x0)"
13,0.66478604,"(((x0 + cos(cos(x0 / -0.06024472))) / (0.5564958 ^ x0)) * x0)"
14,0.6626186,"(((x0 + cos(cos(x0 / 0.06036046))) / cos(x0 ^ x0)) * x0)"
16,0.6603083,"(((x0 + cos(cos(sin(x0 / -0.060196985) / -0.58488554))) / (0.609879 ^ x0)) * x0)"
17,0.6584713,"(((x0 + cos(cos(sin(x0 / 0.06036046) / cos(x0)))) / (0.5969887 ^ x0)) * x0)"
18,0.6531477,"((((x0 * x0) + cos(cos((sin(x0 / 0.060445603) * x0) / -0.4157853))) / 0.62142605) * x0)"
19,0.6531047,"((((x0 * x0) + cos(cos((sin(x0 / sin(0.060445603)) / -0.4157853) * x0))) / 0.62142605) * x0)"
20,0.6531001,"((((x0 * x0) + cos(cos((sin(x0 / sin(sin(0.060445603))) / -0.4157853) * x0))) / 0.62142605) * x0)"
