Complexity,Loss,Equation
1,1.2885004,"x0"
2,1.2165649,"exp(x0)"
3,0.7218549,"(x0 * 2.2922535)"
4,0.6614304,"(exp(x0) * x0)"
5,0.65362114,"((2.9469073 ^ x0) * x0)"
7,0.6534921,"(((2.9753387 ^ x0) * x0) + -0.015664889)"
8,0.65329856,"((exp(x0) - -0.23537843) * (x0 ^ 1.153513))"
9,0.6522428,"((x0 ^ exp(cos(sin(exp(x0))))) * 2.958778)"
10,0.6522324,"((x0 ^ exp(cos(cos(x0 * x0)))) * 2.958778)"
11,0.6503533,"(((x0 + cos(sin(x0 / 0.10286669))) + x0) * x0)"
12,0.64732337,"(((x0 + cos(cos(sin(x0) / -0.058204845))) + x0) * x0)"
13,0.64726794,"(((x0 + cos(cos(sin(x0) / sin(-0.058204845)))) + x0) * x0)"
14,0.6466972,"(((cos(sin(cos(x0) / (x0 * -0.06487637))) + x0) + x0) * x0)"
15,0.64557284,"(((x0 + x0) + cos(sin(exp(exp(exp(x0)) ^ cos(x0))))) * x0)"
16,0.64233947,"(((cos(sin(cos(x0 - 0.2738758) / (x0 * -0.06487637))) + x0) + x0) * x0)"
17,0.64218676,"(((cos(sin(cos(x0 + 0.09416998) / (sin(x0) * -0.06487637))) + x0) + x0) * x0)"
18,0.6403149,"(((cos(sin(cos(x0 - 0.2738758) / (x0 * -0.06487637)) - -0.06903075) + x0) + x0) * x0)"
19,0.6392093,"(((cos(cos((cos(x0) / (0.06732321 * x0)) - cos(-0.41865525)) - -0.11775658) + x0) + x0) * x0)"
20,0.6388804,"(((cos(cos((cos(x0) / (0.06732321 * x0)) + (0.21164605 - 1.0752834)) - -0.14644396) + x0) + x0) * x0)"
