Complexity,Loss,Equation
1,1.8299468,"x0"
2,1.4795281,"exp(x0)"
3,0.9489122,"(x0 * 2.565556)"
4,0.9443771,"(exp(x0) * x0)"
5,0.8698793,"((x0 * 3.3216343) - 0.5333936)"
7,0.8654417,"((exp(sin(x0)) * 2.4501557) - 2.8776617)"
8,0.86365265,"(exp(sin(sin(x0)) * 1.9134756) - 1.3616614)"
9,0.80486196,"((x0 * 3.6232002) - cos(sin(x0 / -0.03440648)))"
11,0.78261817,"((x0 * 3.9264796) - cos(0.037826937 ^ sin(0.5707774 / x0)))"
12,0.77762926,"((x0 * 3.9264796) - cos(0.037826937 ^ sin(0.5707774 / sin(x0))))"
13,0.7526629,"((x0 * 3.9264822) - cos((0.0007900862 ^ sin(0.57210404 / x0)) / -1.845355))"
15,0.7420074,"((x0 * 3.9264822) - cos(0.052789424 ^ ((sin(0.57210404 / x0) - -0.09132343) / x0)))"
17,0.7329078,"((x0 * 3.9264822) - cos((0.052789424 ^ ((sin(0.57210404 / x0) - -0.09132343) / x0)) - 0.41787675))"
18,0.72802544,"((sin(x0) * 4.103736) - cos((0.052789424 ^ ((sin(0.57210404 / x0) - -0.09132343) / x0)) - x0))"
19,0.7271843,"((x0 * 3.9264822) - cos(((sin(x0 ^ sin(x0)) * 0.0007900862) ^ sin(0.57210404 / x0)) * 0.4452416))"
20,0.7238037,"((x0 * 3.9264822) - cos(((sin(x0 ^ (x0 - 0.0020255554)) * 0.0007900862) ^ sin(0.57210404 / x0)) * 0.4452416))"
