Complexity,Loss,Equation
1,0.69532114,"x0"
2,0.5532253,"exp(x0)"
3,0.081522964,"(x0 * 2.3532422)"
4,0.025019327,"(exp(x0) * x0)"
5,0.010729496,"((3.0281973 ^ x0) * x0)"
6,0.010729495,"(exp(x0 * 1.1079797) * x0)"
7,0.01072238,"((3.021544 ^ (x0 ^ 0.9865748)) * x0)"
8,0.010720575,"((58.567146 ^ sin(x0 * 0.27487698)) * x0)"
9,0.010701682,"(((x0 ^ (0.99434555 / x0)) * 3.0246592) ^ x0)"
10,0.010675173,"((3.0282035 ^ (x0 ^ cos(-0.0034395987 / x0))) * x0)"
11,0.010675045,"((2.9735568 ^ ((0.94339377 ^ (-0.25305822 / x0)) * x0)) * x0)"
12,0.010617173,"(((3.021544 ^ x0) + (0.0066793845 / cos(-0.13147718 / x0))) * x0)"
13,0.010555596,"(((3.021544 ^ x0) - (-0.010565281 / cos(-0.13147718 / sin(x0)))) * x0)"
14,0.010545441,"(((3.021544 ^ x0) + (0.0066793845 / cos(-0.13147718 / sin(sin(x0))))) * x0)"
15,0.01054544,"(((3.021544 ^ x0) + (sin(0.0066793845) / cos(-0.13147718 / sin(sin(x0))))) * x0)"
16,0.010545361,"(((3.021544 ^ x0) - ((-0.0078098676 / cos(-0.13147718 / sin(sin(x0)))) * 0.8394437)) * x0)"
17,0.010543991,"((((3.021544 ^ x0) - ((-0.008200069 / cos(-0.13147718 / sin(x0))) * 1.3806151)) * x0) + -0.0038171096)"
18,0.010542974,"(((3.021544 ^ x0) - ((-0.0078098676 / cos(-0.13147718 / sin(sin(x0)))) * sin(exp(x0)))) * x0)"
19,0.01054178,"(((3.021544 ^ x0) - (-0.0078098676 / cos(((-0.13147718 - sin(x0)) + x0) / sin(sin(x0))))) * x0)"
