Complexity,Loss,Equation
1,0.6624225,"x0"
2,0.56372774,"exp(x0)"
3,0.078851014,"(x0 * 2.3431897)"
4,0.02438612,"(exp(x0) * x0)"
5,0.008921959,"((3.0532477 ^ x0) * x0)"
7,0.008917078,"((3.0474463 ^ (x0 ^ 0.9889568)) * x0)"
8,0.008878633,"(((x0 ^ 1.0756179) * 1.1186827) * exp(x0))"
9,0.008875278,"((((x0 + 1.0666101) * x0) + 0.96095085) * x0)"
11,0.00887476,"((((x0 + 1.0253427) * x0) + (x0 ^ 0.024520123)) * x0)"
12,0.008872621,"(((((x0 * x0) + 1.5415201) * sin(x0)) + 0.88855016) * x0)"
14,0.0088725835,"(((((x0 * (x0 ^ 1.0021571)) + 1.5415201) * sin(x0)) + 0.88855016) * x0)"
15,0.008856301,"(((((x0 + 1.0634834) * x0) + 0.96354973) * x0) + ((0.00087008276 / x0) ^ 1.925918))"
16,0.008828319,"((((x0 + 1.0253427) * x0) + (1.0253427 ^ cos((x0 / 0.25398007) / 0.11466231))) * x0)"
18,0.008816274,"((((x0 + 1.0253427) * x0) + (1.0253427 ^ (cos((x0 / 0.25398007) / -0.11740113) + -0.30845642))) * x0)"
19,0.008782398,"((((x0 + 1.0253427) * x0) + (1.0253427 ^ (cos((x0 / 0.25398007) / 0.11466231) + log(x0)))) * x0)"
