Complexity,Loss,Equation
1,1.1466037,"1.1446683"
2,0.9492675,"exp(x0)"
3,0.5457299,"(x0 * 2.3882668)"
4,0.53439885,"(exp(x0) * x0)"
5,0.5110561,"((x0 ^ 1.4658499) * 2.771389)"
7,0.5107434,"(((x0 ^ 1.546967) * 2.771389) + 0.061590213)"
8,0.51064086,"(((x0 + sin(x0)) ^ 1.6238695) - -0.04474226)"
9,0.50967443,"(((x0 + x0) ^ 1.471373) - (-0.0011220229 / x0))"
10,0.50831985,"(((x0 + x0) ^ 1.5128043) - (-0.0017129093 / log(x0)))"
11,0.49726772,"(((x0 + x0) ^ 1.471373) + (0.0013573301 / (0.93105936 - x0)))"
12,0.49726346,"(((x0 + x0) ^ 1.471373) + (0.0013573301 / sin(0.93105936 - x0)))"
13,0.49628267,"(((x0 + x0) ^ 1.471373) - ((-0.0011627983 / (0.93105936 - x0)) / x0))"
14,0.49576077,"(((x0 + x0) ^ 1.471373) - ((-0.0011627983 / (0.93105936 - x0)) / sin(x0)))"
15,0.49484605,"(((exp(cos(sin((x0 ^ -0.8686426) / 0.048879985))) * x0) * sin(x0)) + x0)"
16,0.49234623,"((((exp(cos(sin((x0 ^ -0.8686469) / 0.04907096))) * 0.8470296) * x0) * x0) + x0)"
17,0.49012363,"(((exp(cos(sin((x0 ^ -0.8686469) / 0.04907096) + -0.14901443)) * x0) * sin(x0)) + x0)"
18,0.48879403,"((((exp(cos(sin((x0 ^ -0.8686469) / 0.04907096) + -0.097490944)) * 0.8470296) * x0) * x0) + x0)"
19,0.48791137,"(((exp(cos(sin((x0 ^ -0.8686469) / 0.04907096) + (-0.12957424 / x0))) * x0) * sin(x0)) + x0)"
20,0.48757005,"(((exp(cos(sin((x0 ^ -0.8686469) / 0.04907096) + (-0.12957424 / x0))) * x0) * sin(x0)) + sin(x0))"
