Complexity,Loss,Equation
1,1.4971882,"x0"
2,1.3832649,"exp(x0)"
3,0.9150014,"(x0 * 2.2952101)"
4,0.86004865,"(exp(x0) * x0)"
5,0.8528405,"((2.9351292 ^ x0) * x0)"
6,0.851594,"((1.6090426 / cos(x0)) * x0)"
7,0.8507171,"((x0 * 1.7786063) ^ (x0 + 0.94609696))"
8,0.8494455,"((x0 / 0.70097715) / cos(x0 + 0.0981776))"
9,0.84941876,"((exp(x0 ^ exp(x0)) - -0.42568788) * x0)"
10,0.8485785,"(((x0 / 0.5685568) / (cos(x0) ^ x0)) - 0.06434287)"
11,0.8406465,"(((x0 + cos(cos(x0 / 0.02734633))) + x0) * x0)"
12,0.8355338,"(((cos(sin(sin(x0) / -0.0029512635)) + x0) + x0) * x0)"
13,0.81743014,"(((exp(cos(cos(0.88423103 / log(x0)))) / 0.7381869) ^ x0) * x0)"
14,0.81602323,"(((exp(cos(cos(0.88423103 / sin(log(x0))))) / 0.7381869) ^ x0) * x0)"
15,0.80985284,"(((exp(cos(cos(0.88423103 / log(x0)) - 0.13131304)) / 0.7381869) ^ x0) * x0)"
16,0.8089247,"(((exp(cos(cos(0.88423103 / sin(log(x0))) - 0.13131304)) / 0.7381869) ^ x0) * x0)"
17,0.8083863,"(((exp(cos(cos(0.88423103 / sin(sin(log(x0)))) - 0.13131304)) / 0.7381869) ^ x0) * x0)"
20,0.80741435,"(((exp(cos(cos((((cos(x0) + 0.23033762) ^ x0) ^ x0) / log(x0)))) / 0.7312762) ^ x0) * x0)"
