Complexity,Loss,Equation
1,1.0818808,"1.1918129"
2,0.74368095,"exp(x0)"
3,0.3271937,"(x0 * 2.4552357)"
4,0.27599028,"(exp(x0) * x0)"
5,0.24985732,"((3.1090376 ^ x0) * x0)"
6,0.24969022,"((3.6171496 ^ x0) * sin(x0))"
7,0.24958655,"(((x0 * 1.3525331) ^ 2.3812535) + x0)"
9,0.2495763,"((((x0 + 1.0437583) * x0) + 1.0234482) * x0)"
10,0.24928811,"(((x0 * 2.8834665) - sin(-0.16655521 / x0)) * x0)"
12,0.24881484,"(((x0 * 2.8834665) - sin(-0.16655521 / (x0 - 0.042888507))) * x0)"
13,0.24875975,"(((x0 * 2.8834665) - sin(sin(-0.16655521) / (x0 - 0.042888507))) * x0)"
14,0.24824798,"(((2.930431 + cos(cos(exp(sin(x0 ^ -4.02689))))) ^ x0) * sin(x0))"
15,0.24783231,"((((2.930431 ^ 0.8099016) + cos(cos(exp(sin(x0 ^ -4.02689))))) ^ x0) * x0)"
16,0.24734938,"(((cos(sin(exp(exp((2.930431 + x0) * x0)))) + 2.930431) ^ x0) * sin(x0))"
17,0.24675429,"(((sin(exp(sin(exp(exp((2.930431 + x0) * x0))))) + 2.930431) ^ x0) * sin(x0))"
18,0.2467233,"(((cos(sin(exp(exp((2.930431 + x0) * x0)) + -2.4981985)) + 2.930431) ^ x0) * sin(x0))"
19,0.24610302,"(((sin(exp(sin(exp(exp((2.930431 + x0) * x0)) - -0.26547396))) + 2.930431) ^ x0) * sin(x0))"
20,0.24604622,"(((sin(exp(sin(sin(exp(exp((2.930431 + x0) * x0))) + 0.26251283))) + 2.930431) ^ x0) * sin(x0))"
