complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
5,0.5454864783591236,0,1,[x1**2 + x1],"add,mul,x1,x1,x1",0.6942655830340628,0.6942655830340628,False
7,0.5553918400464666,0,1,[x1*exp(x1)],"mul,exp,x1,x1",0.6408492329054684,0.6408492329054684,False
11,0.5555496538732521,0,1,[x1*(x1**3 + x1) + x1],"add,mul,x1,add,x1,mul,mul,x1,x1,x1,x1",0.6400305950117064,0.6400305950117064,False
12,0.5557584423331777,0,1,[x1*(x1**2 + x1) + sin(x1)],"add,mul,add,x1,mul,x1,x1,x1,sin,x1",0.6389490507029237,0.6389490507029237,False
17,0.5557585146125277,0,1,[x1*(x1**2*sin(1) + x1) + x1],"add,x1,mul,add,mul,mul,x1,sin,div,x1,x1,x1,x1,x1",0.6389486765879502,0.6389486765879502,False
19,0.5557670888481271,0,1,[x1*(x1*sin(x1)*sin(2*x1) + x1) + x1],"add,x1,mul,add,mul,mul,x1,sin,add,x1,x1,sin,x1,x1,x1",0.6389042981609891,0.6389042981609891,False
20,0.5557697573436698,0,1,[x1*(-x1*(x1**2 - 2*x1)*sin(x1) + x1) + x1],"add,mul,sub,x1,mul,mul,sub,sub,mul,x1,x1,x1,x1,sin,x1,x1,x1,x1",0.6388904871872549,0.6388904871872549,False
21,0.5557774532738018,0,1,[x1*(x1*sin(x1)*sin(x1**2 + x1) + x1) + x1],"add,mul,add,mul,mul,sin,add,mul,x1,x1,x1,x1,sin,x1,x1,x1,x1",0.6388506579748118,0.6388506579748118,False
26,0.5558621106833116,0,1,[x1*(x1*(x1 + cos(exp(exp(exp(x1))))) + x1) + x1],"add,mul,x1,add,x1,mul,add,cos,exp,exp,exp,x1,x1,x1,x1",0.6384126800785048,0.6384126800785048,False
36,0.5564543423807708,0,1,[x1*log(x1*(2*x1 + cos(exp(exp(exp(x1))))) + exp(x1)) + x1],"add,mul,log,add,mul,add,add,cos,exp,exp,exp,x1,x1,x1,x1,exp,x1,x1,x1",0.6353566676073735,0.6353566676073735,False
39,0.5569244527661309,0,1,[x1**2*(x1**2*sin(x1*exp(x1*(x1 + (2*x1**2 + x1)/x1)) + x1) + 2*x1) + x1],"add,mul,x1,mul,add,add,mul,mul,sin,add,mul,exp,mul,add,div,add,mul,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.6329406540815817,0.6329406540815817,False
40,0.5585783651052569,0,1,[x1*(x1**2*(x1 + cos(exp(exp(exp(x1))))) + x1) + x1],"add,exp,add,sub,log,mul,x1,add,mul,mul,add,cos,exp,exp,exp,x1,x1,x1,x1,x1,x1,x1,x1",0.6245094417577136,0.6245094417577136,False
52,0.5590647439751033,0,1,[x1*(x1**2*(x1*cos(2*x1**2 + (x1*(x1 + exp((x1*(x1**3 + x1) + 2*x1)/x1)) + x1)/x1) + x1) + x1) + x1],"add,mul,add,mul,mul,add,mul,cos,add,div,add,mul,add,exp,div,add,add,mul,add,mul,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,mul,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.6220502080532361,0.6220502080532361,False
54,0.5595406515449378,0,1,[x1*(x1**2*(x1*cos(2*x1**3 + (x1*(x1 + exp((x1*(x1**3 + x1) + 2*x1)/x1)) + x1)/x1) + x1) + x1) + x1],"add,mul,add,mul,mul,add,mul,cos,add,div,add,mul,add,exp,div,add,add,mul,add,mul,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,mul,add,x1,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.6196527417322969,0.6196527417322969,False
56,0.5596870214759748,0,1,[x1*(x1**2*(x1*cos(2*x1**2 + (x1**3 + x1*(x1 + exp((x1*(x1**3 + x1) + 2*x1)/x1)))/x1) + x1) + x1) + x1],"add,mul,add,mul,mul,add,mul,cos,add,div,add,mul,add,exp,div,add,add,mul,add,mul,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,mul,x1,mul,x1,x1,x1,mul,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.6189171273329541,0.6189171273329541,False
58,0.5599236838551382,0,1,[x1*(x1**2*(x1**2*cos(2*x1**2 + (x1**3 + x1*(x1 + exp((x1*(x1**3 + x1) + 2*x1)/x1)))/x1) + x1) + x1) + x1],"add,mul,add,mul,mul,add,mul,mul,cos,add,div,add,mul,add,exp,div,add,add,mul,add,mul,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,mul,x1,mul,x1,x1,x1,mul,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.617729465220014,0.617729465220014,False
60,0.55995968643539,0,1,[x1*(x1**2*(x1**2*cos(x1*(x1**3 + x1) + (x1**2 + x1*(x1 + exp((x1*(x1**3 + x1) + 2*x1)/x1)))/x1) + x1) + x1) + x1],"add,mul,add,mul,mul,add,mul,mul,cos,add,div,add,mul,add,exp,div,add,add,mul,add,mul,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,mul,x1,x1,x1,mul,add,mul,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.6175489784155875,0.6175489784155875,False
62,0.5600282790334862,0,1,[x1*(x1**2*(x1**2*cos(x1*(x1**2 + x1) + (x1**4 + x1*(x1 + exp((x1*(x1**3 + x1) + 2*x1)/x1)))/x1) + x1) + x1) + x1],"add,mul,add,mul,mul,add,mul,mul,cos,add,div,add,mul,add,exp,div,add,add,mul,add,mul,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,mul,mul,x1,mul,x1,x1,x1,x1,mul,add,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.6172052497212335,0.6172052497212335,False
71,0.5608939726945851,0,1,[x1*(x1**2*(x1*cos(x1**2*(x1*(x1*(x1**4 + x1) + (x1*(x1 + exp((x1*(x1**3 + x1) + 2*x1)/x1)) + x1)/x1) + x1) + 1) + x1) + x1) + x1],"add,mul,add,mul,mul,add,mul,cos,add,div,x1,x1,mul,mul,add,mul,x1,add,div,add,mul,add,exp,div,add,add,mul,add,mul,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,mul,add,mul,mul,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.6128825418360914,0.6128825418360914,False
73,0.5608941721479255,0,1,[x1*(x1**2*(x1*cos(x1**2*(x1*(x1*(x1**5 + x1) + (x1*(x1 + exp((x1*(x1**3 + x1) + 2*x1)/x1)) + x1)/x1) + x1) + 1) + x1) + x1) + x1],"add,mul,add,mul,mul,add,mul,cos,add,div,x1,x1,mul,mul,add,mul,x1,add,div,add,mul,add,exp,div,add,add,mul,add,mul,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,mul,add,mul,mul,x1,mul,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.6128815491817222,0.6128815491817222,False
