complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
5,0.6841109591646288,0,1,[x1**2 + x1],"add,x1,mul,x1,x1",0.2132141497882501,0.2132141497882501,False
7,0.9046410948744413,0,1,[2*x1**2 + x1],"add,x1,mul,add,x1,x1,x1",0.011111428274281696,0.011111428274281696,False
9,0.9999999999999996,0,1,[x1*(x1**2 + x1) + x1],"add,x1,mul,add,mul,x1,x1,x1,x1",1.2567895560647775e-31,1.2567895560647775e-31,True
20,0.9999999999999998,0,1,[x1**2*(x1 + 1) + x1],"add,x1,mul,mul,x1,x1,add,add,sub,sub,x1,sub,x1,div,x1,x1,x1,x1,x1",9.188920737517882e-32,9.188920737517882e-32,True
