complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
5,0.5649506054046993,0,1,[x1**2 + x1],"add,x1,mul,x1,x1",0.5930020306323831,0.5930020306323831,False
7,0.59152609966309,0,1,[3*x1**2],"mul,add,add,x1,x1,x1,x1",0.47684891783053823,0.47684891783053823,False
9,0.5928549214513913,0,1,[x1*(x1**2 + x1) + x1],"add,x1,mul,add,mul,x1,x1,x1,x1",0.4716301062291538,0.4716301062291538,False
13,0.5930880795246386,0,1,[x1*(x1 + exp(x1**3))],"mul,add,exp,mul,mul,x1,x1,x1,x1,x1",0.4707197657211687,0.4707197657211687,False
14,0.5939469007105422,0,1,[(x1*sin(x1) + x1)/cos(x1)],"div,add,mul,x1,sin,x1,x1,cos,x1",0.46738031660399887,0.46738031660399887,False
24,0.593965507881474,0,1,[x1*(2*x1 + exp(x1*(x1**2 - cos(x1**3))))],"mul,add,add,exp,mul,sub,mul,x1,x1,cos,mul,mul,x1,x1,x1,x1,x1,x1,x1",0.4673082025430608,0.4673082025430608,False
26,0.5940524241084502,0,1,[x1*(2*x1 + exp(x1*(x1**2 - cos(x1**4))))],"mul,add,add,exp,mul,sub,mul,x1,x1,cos,mul,mul,x1,x1,mul,x1,x1,x1,x1,x1,x1",0.46697148300971514,0.46697148300971514,False
27,0.5950092384197823,0,1,[x1*(x1**2/sin(exp(x1**5)) + x1) + x1],"add,mul,add,x1,div,mul,x1,x1,sin,exp,mul,x1,mul,mul,mul,x1,x1,x1,x1,x1,x1",0.46327921407820316,0.46327921407820316,False
29,0.5959752903275295,0,1,[x1*(x1**2*sin(exp(exp(x1**2))) + 2*x1 + 1)],"mul,add,add,add,mul,mul,sin,exp,exp,mul,x1,x1,x1,x1,x1,div,x1,x1,x1,x1",0.45957812183843016,0.45957812183843016,False
31,0.5965405038569015,0,1,[x1*(x1**3*sin(exp(exp(x1**2))) + 2*x1 + 1)],"mul,add,add,add,mul,mul,mul,sin,exp,exp,mul,x1,x1,x1,x1,x1,x1,div,x1,x1,x1,x1",0.4574251195457078,0.4574251195457078,False
33,0.5966762223236051,0,1,[x1*(x1**4*sin(exp(exp(x1**2))) + 2*x1 + 1)],"mul,add,add,add,mul,x1,mul,mul,mul,sin,exp,exp,mul,x1,x1,x1,x1,x1,x1,div,x1,x1,x1,x1",0.4569095018196338,0.4569095018196338,False
34,0.5970039893884346,0,1,[x1*(x1**2*sin(exp(exp(x1**2)))*cos(x1) + 2*x1 + 1)],"mul,add,add,add,mul,mul,mul,sin,exp,exp,mul,x1,x1,x1,cos,x1,x1,x1,div,x1,x1,x1,x1",0.45566642276749075,0.45566642276749075,False
35,0.5974144758141362,0,1,[x1*(x1**4*sin(exp(exp(x1**2))) + x1**2 + x1 + 1)],"mul,add,add,add,mul,x1,mul,mul,mul,sin,exp,exp,mul,x1,x1,x1,x1,x1,mul,x1,x1,div,x1,x1,x1,x1",0.4541139322996152,0.4541139322996152,False
42,0.5987947251282584,0,1,[x1**3 + x1**2*exp(x1**2*sin(exp(exp(x1**2*exp(x1**2))))) + x1],"add,add,mul,mul,x1,x1,x1,mul,mul,exp,mul,mul,sin,exp,exp,mul,mul,exp,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.4489286648850862,0.4489286648850862,False
48,0.5995976693721837,0,1,[x1**3 + x1**2*exp(x1**5*sin(exp(exp(x1**2*exp(x1**2))))) + x1],"add,add,mul,mul,x1,x1,x1,mul,mul,exp,mul,mul,mul,mul,mul,sin,exp,exp,mul,mul,exp,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.4459368084215104,0.4459368084215104,False
66,0.6004842732582286,0,1,[x1**2*exp(exp(sin(exp(x1**9*exp(x1**6*(x1**2 + x1)))*log(x1)))) + x1],"add,mul,mul,exp,exp,sin,mul,exp,mul,mul,mul,mul,mul,mul,mul,mul,mul,exp,mul,mul,mul,mul,add,mul,x1,x1,x1,mul,x1,x1,x1,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,log,x1,x1,x1,x1",0.44265409292968244,0.44265409292968244,False
68,0.6004975485802054,0,1,[x1**2*exp(exp(sin(exp(x1**10*exp(2*x1**7))*log(x1)))) + x1],"add,mul,mul,exp,exp,sin,mul,exp,mul,mul,mul,mul,mul,mul,mul,mul,mul,mul,exp,mul,mul,mul,mul,add,mul,x1,x1,mul,x1,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,log,x1,x1,x1,x1",0.4426051057531917,0.4426051057531917,False
69,0.6013541151138864,0,1,[x1*exp(x1**6*exp(x1*sin(x1*(x1**4*exp(x1**3*exp(x1**5)) + x1))*cos(x1))) + x1],"add,mul,exp,mul,mul,mul,x1,mul,mul,mul,exp,mul,mul,sin,mul,add,mul,mul,mul,mul,exp,mul,mul,mul,exp,mul,mul,mul,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,cos,x1,x1,x1,x1,x1,x1,x1,x1",0.4394545812005473,0.4394545812005473,False
70,0.6042607503359259,0,1,[x1*exp(x1**4*exp(x1*sin(x1*(x1**4*exp(x1**3*exp(x1**5)) + x1)))*sin(x1)**2) + x1],"add,mul,exp,mul,mul,mul,mul,sin,x1,mul,sin,x1,x1,mul,exp,mul,sin,mul,add,mul,mul,mul,mul,exp,mul,mul,mul,exp,mul,mul,mul,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.4289132678224756,0.4289132678224756,False
77,0.6042825941323967,0,1,[x1*exp(x1**5*exp(sin(x1*(x1**4*exp(x1**3*exp(x1**5)) + x1**2)))*sin(x1)**2) + x1],"add,mul,exp,mul,mul,mul,x1,mul,sin,x1,x1,mul,mul,mul,exp,mul,div,sin,mul,add,mul,mul,mul,mul,exp,mul,mul,mul,exp,mul,mul,mul,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,sin,x1,x1,x1",0.4288349142953359,0.4288349142953359,False
